Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Declan Rice,eng ENG,MF,24-026,21,21,1890.0,21.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,1.8,1.0,2.2,3.2,53.0,153.0,23.0,0.05,0.05,0.1,0.05,0.1,0.08,0.11,0.19,0.05,0.15,Matches
Jarrod Bowen,eng ENG,"FW,MF",26-051,21,21,1880.0,20.9,4.0,0.0,4.0,3.0,1.0,2.0,1.0,0.0,6.2,5.2,3.1,8.3,47.0,46.0,126.0,0.19,0.0,0.19,0.14,0.14,0.3,0.15,0.45,0.25,0.4,Matches
Łukasz Fabiański,pl POL,GK,37-297,21,21,1783.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tomáš Souček,cz CZE,MF,27-347,21,18,1578.0,17.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.5,2.5,0.7,3.3,6.0,54.0,26.0,0.06,0.06,0.11,0.06,0.11,0.14,0.04,0.19,0.14,0.19,Matches
Aaron Cresswell,eng ENG,DF,33-056,18,17,1533.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,2.5,2.8,27.0,118.0,69.0,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.16,0.02,0.16,Matches
Thilo Kehrer,de GER,DF,26-141,16,16,1395.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.2,0.6,11.0,34.0,20.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Kurt Zouma,fr FRA,DF,28-105,15,15,1274.0,14.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.1,1.0,16.0,1.0,0.07,0.0,0.07,0.07,0.07,0.08,0.0,0.08,0.08,0.08,Matches
Vladimír Coufal,cz CZE,DF,30-171,15,13,1201.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.2,1.5,34.0,53.0,60.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11,Matches
Lucas Paquetá,br BRA,MF,25-166,14,13,1071.0,11.9,2.0,2.0,4.0,1.0,1.0,1.0,3.0,0.0,2.9,2.1,0.9,3.1,6.0,73.0,36.0,0.17,0.17,0.34,0.08,0.25,0.25,0.08,0.32,0.18,0.26,Matches
