Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Declan Rice,eng ENG,MF,24-026,21.0,1,24,4,16.7,1.14,0.19,0.04,0.25,24.6,0,0,1,1.8,1.0,0.04,-0.8,0.0,Matches
Jarrod Bowen,eng ENG,"FW,MF",26-051,20.9,4,43,10,23.3,2.06,0.48,0.07,0.3,16.0,1,1,2,6.2,5.2,0.12,-2.2,-2.2,Matches
Łukasz Fabiański,pl POL,GK,37-297,19.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tomáš Souček,cz CZE,MF,27-347,17.5,1,18,6,33.3,1.03,0.34,0.06,0.17,11.3,0,0,0,2.5,2.5,0.14,-1.5,-1.5,Matches
Aaron Cresswell,eng ENG,DF,33-056,17.0,0,7,1,14.3,0.41,0.06,0.0,0.0,22.8,3,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Thilo Kehrer,de GER,DF,26-141,15.5,0,7,1,14.3,0.45,0.06,0.0,0.0,19.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Kurt Zouma,fr FRA,DF,28-105,14.2,1,11,3,27.3,0.78,0.21,0.09,0.33,10.8,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Matches
Vladimír Coufal,cz CZE,DF,30-171,13.3,0,5,0,0.0,0.37,0.0,0.0,,24.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Lucas Paquetá,br BRA,MF,25-166,11.9,2,31,8,25.8,2.61,0.67,0.03,0.13,19.2,0,1,1,2.9,2.1,0.07,-0.9,-1.1,Matches
Saïd Benrahma,dz ALG,"FW,MF",27-183,12.5,3,36,11,30.6,2.87,0.88,0.03,0.09,22.3,2,2,2,3.6,2.0,0.06,-0.6,-1.0,Matches
Pablo Fornals,es ESP,"FW,MF",26-352,10.7,1,17,5,29.4,1.59,0.47,0.06,0.2,23.9,0,0,0,0.8,0.8,0.05,0.2,0.2,Matches
Gianluca Scamacca,it ITA,FW,24-039,10.3,3,30,10,33.3,2.92,0.97,0.1,0.3,18.7,1,0,0,2.5,2.5,0.08,0.5,0.5,Matches
Michail Antonio,jm JAM,FW,32-318,10.9,2,22,7,31.8,2.01,0.64,0.09,0.29,14.6,0,0,0,2.5,2.5,0.12,-0.5,-0.5,Matches
Craig Dawson,eng ENG,DF,32-279,8.0,0,6,1,16.7,0.75,0.12,0.0,0.0,15.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Ben Johnson,eng ENG,DF,23-016,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Emerson Palmieri,it ITA,"DF,MF",28-190,5.1,0,6,2,33.3,1.18,0.39,0.0,0.0,16.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Nayef Aguerd,ma MAR,DF,26-316,4.8,0,4,0,0.0,0.83,0.0,0.0,,8.5,0,0,0,0.7,0.7,0.19,-0.7,-0.7,Matches
Angelo Ogbonna,it ITA,DF,34-262,4.3,0,1,0,0.0,0.23,0.0,0.0,,11.1,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
Flynn Downes,eng ENG,MF,24-020,3.2,0,2,0,0.0,0.63,0.0,0.0,,14.7,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Manuel Lanzini,ar ARG,"MF,FW",29-359,1.4,0,2,0,0.0,1.43,0.0,0.0,,31.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Maxwel Cornet,ci CIV,FW,26-135,1.0,0,4,1,25.0,3.96,0.99,0.0,0.0,9.8,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
Alphonse Areola,fr FRA,GK,29-347,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Danny Ings,eng ENG,FW,30-201,0.3,0,1,0,0.0,3.1,0.0,0.0,,9.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Divin Mubama,eng ENG,FW,18-107,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Conor Coventry,ie IRL,"MF,FW",22-321,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.7,21.0,18,277,70,25.3,13.19,3.33,0.05,0.2,18.3,7,4,6,26.6,22.6,0.08,-8.6,-8.6,
Opponent Total,,,27.3,21.0,25,240,81,33.8,11.43,3.86,0.1,0.28,17.9,7,2,3,23.3,20.9,0.09,1.7,2.1,
