Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Declan Rice,eng ENG,MF,24-026,21.0,1297,1265,31,27,2,41,22,1,3,3,0,0,1140,1,14,Matches
Jarrod Bowen,eng ENG,"FW,MF",26-051,20.9,523,458,62,8,3,3,88,3,48,44,0,0,338,3,29,Matches
Łukasz Fabiański,pl POL,GK,37-297,19.8,543,363,177,46,0,2,0,0,0,0,0,0,357,3,0,Matches
Tomáš Souček,cz CZE,MF,27-347,17.5,607,600,7,7,0,6,7,0,0,0,0,0,448,0,17,Matches
Aaron Cresswell,eng ENG,DF,33-056,17.0,1086,877,207,30,1,4,101,140,37,2,29,1,864,2,25,Matches
Thilo Kehrer,de GER,DF,26-141,15.5,753,676,75,16,0,4,16,58,0,0,0,0,625,2,13,Matches
Kurt Zouma,fr FRA,DF,28-105,14.2,610,586,22,9,0,10,0,2,0,0,0,0,522,2,1,Matches
Vladimír Coufal,cz CZE,DF,30-171,13.3,674,521,149,8,0,0,69,141,0,0,0,0,425,4,36,Matches
Lucas Paquetá,br BRA,MF,25-166,11.9,570,533,32,11,7,5,13,1,0,0,0,0,449,5,11,Matches
Saïd Benrahma,dz ALG,"FW,MF",27-183,12.5,449,434,14,0,0,1,38,7,1,1,0,0,362,1,11,Matches
Pablo Fornals,es ESP,"FW,MF",26-352,10.7,489,456,31,3,4,8,39,5,15,12,2,0,351,2,14,Matches
Gianluca Scamacca,it ITA,FW,24-039,10.3,177,173,3,0,0,8,1,0,0,0,0,0,118,1,7,Matches
Michail Antonio,jm JAM,FW,32-318,10.9,191,184,7,1,1,0,18,5,0,0,0,0,99,0,7,Matches
Craig Dawson,eng ENG,DF,32-279,8.0,310,299,9,8,0,2,2,1,0,0,0,0,245,2,3,Matches
Ben Johnson,eng ENG,DF,23-016,6.0,337,293,43,6,0,6,11,35,0,0,0,0,246,1,9,Matches
Emerson Palmieri,it ITA,"DF,MF",28-190,5.1,253,231,22,1,0,0,13,21,0,0,0,0,202,0,10,Matches
Nayef Aguerd,ma MAR,DF,26-316,4.8,194,189,4,4,0,4,0,0,0,0,0,0,150,1,1,Matches
Angelo Ogbonna,it ITA,DF,34-262,4.3,139,137,2,2,0,0,0,0,0,0,0,0,116,0,0,Matches
Flynn Downes,eng ENG,MF,24-020,3.2,113,110,3,0,0,1,2,0,0,0,0,0,92,0,2,Matches
Manuel Lanzini,ar ARG,"MF,FW",29-359,1.4,83,81,2,0,0,0,1,0,0,0,0,0,68,0,2,Matches
Maxwel Cornet,ci CIV,FW,26-135,1.0,30,27,2,0,0,0,2,1,0,0,0,0,20,1,3,Matches
Alphonse Areola,fr FRA,GK,29-347,1.2,42,30,11,1,0,0,0,0,0,0,0,0,29,1,0,Matches
Danny Ings,eng ENG,FW,30-201,0.3,8,8,0,0,1,0,0,0,0,0,0,0,5,0,1,Matches
Divin Mubama,eng ENG,FW,18-107,0.0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Matches
Conor Coventry,ie IRL,"MF,FW",22-321,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.7,21.0,9479,8531,916,189,19,105,443,421,104,62,31,1,7272,32,216,
Opponent Total,,,27.3,21.0,12035,11097,911,230,49,64,381,376,101,52,37,0,9880,27,173,
