Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Declan Rice,eng ENG,MF,24-026,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,0.9,18.0,26.0,-8.0,-0.38,,26.6,23.3,3.3,0.16,,Matches
Jarrod Bowen,eng ENG,"FW,MF",26-051,21,1880.0,90.0,99.5,20.9,21,90.0,18,0,,0,0.9,17.0,26.0,-9.0,-0.43,-9.43,25.6,23.3,2.3,0.11,-8.8,Matches
Łukasz Fabiański,pl POL,GK,37-297,21,1783.0,85.0,94.3,19.8,21,85.0,19,0,,0,0.9,18.0,24.0,-6.0,-0.3,1.38,25.5,21.0,4.5,0.23,1.25,Matches
Tomáš Souček,cz CZE,MF,27-347,21,1578.0,75.0,83.5,17.5,18,85.0,14,3,15.0,0,0.9,15.0,21.0,-6.0,-0.34,0.23,21.7,19.2,2.5,0.14,-0.08,Matches
Aaron Cresswell,eng ENG,DF,33-056,18,1533.0,85.0,81.1,17.0,17,89.0,15,1,23.0,2,0.83,12.0,22.0,-10.0,-0.59,-1.09,20.6,19.9,0.7,0.04,-0.61,Matches
Thilo Kehrer,de GER,DF,26-141,16,1395.0,87.0,73.8,15.5,16,87.0,15,0,,3,1.0,16.0,20.0,-4.0,-0.26,0.47,19.3,16.4,3.0,0.19,0.13,Matches
Kurt Zouma,fr FRA,DF,28-105,15,1274.0,85.0,67.4,14.2,15,85.0,14,0,,1,1.07,13.0,15.0,-2.0,-0.14,0.74,17.8,14.2,3.6,0.25,0.3,Matches
Vladimír Coufal,cz CZE,DF,30-171,15,1201.0,80.0,63.5,13.3,13,87.0,10,2,36.0,6,0.87,11.0,18.0,-7.0,-0.52,-0.39,17.0,14.6,2.4,0.18,0.07,Matches
Lucas Paquetá,br BRA,MF,25-166,14,1071.0,77.0,56.7,11.9,13,81.0,3,1,24.0,0,0.93,13.0,16.0,-3.0,-0.25,0.3,14.9,12.5,2.4,0.2,0.1,Matches
Saïd Benrahma,dz ALG,"FW,MF",27-183,19,1127.0,59.0,59.6,12.5,11,82.0,6,8,29.0,2,0.68,10.0,17.0,-7.0,-0.56,-0.44,16.3,15.9,0.4,0.03,-0.3,Matches
Pablo Fornals,es ESP,"FW,MF",26-352,18,960.0,53.0,50.8,10.7,11,76.0,1,7,17.0,3,0.83,10.0,14.0,-4.0,-0.37,0.01,13.3,12.0,1.3,0.12,-0.07,Matches
Gianluca Scamacca,it ITA,FW,24-039,16,926.0,58.0,49.0,10.3,11,73.0,3,5,24.0,0,0.88,9.0,12.0,-3.0,-0.29,0.18,13.4,11.4,2.0,0.19,0.08,Matches
Michail Antonio,jm JAM,FW,32-318,20,985.0,49.0,52.1,10.9,10,76.0,2,10,23.0,0,0.95,9.0,13.0,-4.0,-0.37,0.03,14.1,13.3,0.8,0.07,-0.18,Matches
Craig Dawson,eng ENG,DF,32-279,8,720.0,90.0,38.1,8.0,8,90.0,8,0,,1,0.88,9.0,13.0,-4.0,-0.5,-0.19,9.8,10.8,-1.0,-0.12,-0.45,Matches
Ben Johnson,eng ENG,DF,23-016,9,543.0,60.0,28.7,6.0,6,79.0,5,3,24.0,7,1.22,3.0,5.0,-2.0,-0.33,0.07,8.7,6.8,1.9,0.32,0.23,Matches
Emerson Palmieri,it ITA,"DF,MF",28-190,10,457.0,46.0,24.2,5.1,6,71.0,2,4,8.0,8,1.5,5.0,6.0,-1.0,-0.2,0.24,6.7,4.1,2.6,0.51,0.46,Matches
Nayef Aguerd,ma MAR,DF,26-316,5,436.0,87.0,23.1,4.8,4,90.0,4,1,76.0,2,1.0,5.0,5.0,0.0,0.0,0.5,7.0,5.5,1.6,0.33,0.22,Matches
Angelo Ogbonna,it ITA,DF,34-262,6,387.0,65.0,20.5,4.3,4,90.0,4,2,14.0,13,0.83,3.0,5.0,-2.0,-0.47,-0.11,6.1,4.4,1.8,0.41,0.32,Matches
Flynn Downes,eng ENG,MF,24-020,9,286.0,32.0,15.1,3.2,3,79.0,0,6,8.0,12,1.22,1.0,3.0,-2.0,-0.63,-0.29,3.1,3.3,-0.1,-0.05,-0.24,Matches
