Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Łukasz Fabiański,pl POL,GK,37-297,21,21,1783,19.8,24,1.21,82,58,72.0,5,4,12,4,19.0,2,1,1,0,50.0,Matches
Alphonse Areola,fr FRA,GK,29-347,2,0,107,1.2,2,1.68,2,0,50.0,0,0,0,0,,1,1,0,0,0.0,Matches
Squad Total,,,28.7,21,21,1890,21.0,26,1.24,84,58,71.4,5,4,12,4,19.0,3,2,1,0,33.3,
Opponent Total,,,27.3,21,21,1890,21.0,18,0.86,76,56,81.6,12,4,5,9,42.9,6,4,2,0,33.3,
