Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Declan Rice,eng ENG,MF,24-026,21.0,1483,63,379,885,249,13,1482,25,12,48.0,10,40.0,863,5258,2907,53,44,1,16,13,1003,23,Matches
Jarrod Bowen,eng ENG,"FW,MF",26-051,20.9,772,13,102,274,400,88,770,52,12,23.1,27,51.9,427,3157,1070,47,25,27,43,32,476,126,Matches
Łukasz Fabiański,pl POL,GK,37-297,19.8,582,516,580,2,0,0,582,0,0,,0,,309,2032,1360,0,0,0,1,0,221,0,Matches
Tomáš Souček,cz CZE,MF,27-347,17.5,811,64,267,399,146,39,811,8,2,25.0,4,50.0,335,1214,440,6,7,0,14,10,463,26,Matches
Aaron Cresswell,eng ENG,DF,33-056,17.0,1204,63,370,516,321,8,1204,6,2,33.3,3,50.0,570,2577,1265,27,21,1,4,6,736,69,Matches
Thilo Kehrer,de GER,DF,26-141,15.5,883,85,410,391,87,11,883,6,4,66.7,2,33.3,472,1977,1012,11,10,1,11,4,532,20,Matches
Kurt Zouma,fr FRA,DF,28-105,14.2,735,164,465,254,18,14,735,2,0,0.0,2,100.0,387,1709,815,1,1,0,4,0,463,1,Matches
Vladimír Coufal,cz CZE,DF,30-171,13.3,823,53,245,324,255,10,823,8,0,0.0,3,37.5,315,1924,1040,34,25,0,13,7,406,60,Matches
Lucas Paquetá,br BRA,MF,25-166,11.9,724,28,139,398,196,28,723,20,7,35.0,9,45.0,360,1426,511,6,14,2,21,18,481,36,Matches
Saïd Benrahma,dz ALG,"FW,MF",27-183,12.5,615,10,70,224,331,41,613,79,31,39.2,37,46.8,404,2946,1443,56,30,19,35,21,459,151,Matches
Pablo Fornals,es ESP,"FW,MF",26-352,10.7,577,10,96,263,227,20,577,16,8,50.0,8,50.0,311,1625,775,19,19,7,13,10,391,65,Matches
Gianluca Scamacca,it ITA,FW,24-039,10.3,273,5,13,135,128,38,273,14,6,42.9,6,42.9,143,660,282,13,7,3,23,18,203,48,Matches
Michail Antonio,jm JAM,FW,32-318,10.9,317,8,25,139,158,46,317,29,10,34.5,15,51.7,202,1255,583,23,15,11,40,21,260,63,Matches
Craig Dawson,eng ENG,DF,32-279,8.0,380,53,211,142,28,14,380,1,0,0.0,1,100.0,193,1042,600,0,5,0,2,4,216,1,Matches
Ben Johnson,eng ENG,DF,23-016,6.0,396,33,169,173,58,1,396,11,6,54.5,2,18.2,175,905,398,8,4,0,7,5,216,9,Matches
Emerson Palmieri,it ITA,"DF,MF",28-190,5.1,303,14,70,141,97,14,303,11,3,27.3,5,45.5,134,929,544,21,12,3,4,4,201,29,Matches
Nayef Aguerd,ma MAR,DF,26-316,4.8,248,30,123,119,8,5,248,1,1,100.0,0,0.0,134,478,238,1,0,0,3,0,147,1,Matches
Angelo Ogbonna,it ITA,DF,34-262,4.3,185,29,107,70,8,4,185,0,0,,0,,81,327,78,0,0,0,0,3,92,1,Matches
Flynn Downes,eng ENG,MF,24-020,3.2,144,4,21,95,28,2,144,0,0,,0,,80,304,100,1,2,1,6,3,96,7,Matches
Manuel Lanzini,ar ARG,"MF,FW",29-359,1.4,89,0,15,53,22,0,89,0,0,,0,,57,298,116,2,3,0,1,2,71,4,Matches
Maxwel Cornet,ci CIV,FW,26-135,1.0,42,0,6,9,27,4,42,0,0,,0,,24,90,31,2,0,1,3,2,32,15,Matches
Alphonse Areola,fr FRA,GK,29-347,1.2,43,41,43,0,0,0,43,0,0,,0,,26,92,43,0,0,0,0,0,27,0,Matches
Danny Ings,eng ENG,FW,30-201,0.3,14,2,7,3,4,1,14,1,0,0.0,0,0.0,8,16,6,0,0,0,1,1,8,2,Matches
Divin Mubama,eng ENG,FW,18-107,0.0,1,0,0,1,0,0,1,0,0,,0,,1,9,2,0,0,0,0,0,1,0,Matches
Conor Coventry,ie IRL,"MF,FW",22-321,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.7,21.0,11644,1288,3933,5010,2796,401,11638,290,104,35.9,134,46.2,6011,32250,15659,331,244,77,265,184,7201,757,
Opponent Total,,,27.3,21.0,14372,1474,4579,6445,3476,470,14369,315,131,41.6,129,41.0,8292,44054,23070,413,304,115,312,199,9817,873,
