Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Łukasz Fabiański,pl POL,GK,37-297,19.8,24,1,0,0,1,23.9,0.27,0.9,0.05,109,287,38.0,409,99,50.9,38.9,131,60.3,44.9,282,19,6.7,6,0.3,10.8,Matches
Alphonse Areola,fr FRA,GK,29-347,1.2,2,1,0,0,0,1.7,0.34,-0.3,-0.27,9,20,45.0,31,3,45.2,35.0,10,60.0,42.5,15,0,0.0,1,0.84,14.3,Matches
Squad Total,,,28.7,21.0,26,2,0,0,1,25.6,0.27,0.6,0.03,118,307,38.4,440,102,50.5,38.7,141,60.3,44.7,297,19,6.4,7,0.33,11.0,
Opponent Total,,,27.3,21.0,18,4,0,4,0,21.1,0.23,3.1,0.15,87,264,33.0,571,94,32.2,32.1,155,51.6,42.0,339,20,5.9,26,1.24,15.2,
