Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
5,Betis,13,7,3,3,19,12,7,24,1.85,19.9,14.6,5.3,0.41,14,6,3,5,15,15,0,21,1.5,18.3,19.6,-1.3,-0.09
6,Villarreal,13,8,2,3,19,10,9,26,2.0,23.8,12.6,11.3,0.87,14,5,3,6,15,14,1,18,1.29,15.8,20.1,-4.3,-0.31
7,Athletic Club,14,6,3,5,18,11,7,21,1.5,20.0,10.1,9.9,0.71,13,4,4,5,18,17,1,16,1.23,16.1,13.5,2.6,0.2
8,Rayo Vallecano,13,5,5,3,18,14,4,20,1.54,18.4,14.8,3.6,0.27,14,4,5,5,14,17,-3,17,1.21,14.1,20.8,-6.7,-0.48
9,Osasuna,13,6,1,6,12,14,-2,19,1.46,17.5,13.4,4.2,0.32,14,3,7,4,10,13,-3,16,1.14,9.9,16.4,-6.5,-0.47
