Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Unai Simón,es ESP,GK,25-299,21.5,25,1,0,0,2,21.0,0.28,-2.0,-0.09,85,227,37.4,511,115,29.5,33.0,130,58.5,46.5,260,13,5.0,31,1.44,18.7,Matches
Julen Agirrezabala,es ESP,GK,22-101,5.5,3,0,0,0,0,4.5,0.33,1.5,0.27,33,86,38.4,125,17,35.2,33.4,52,80.8,57.6,74,4,5.4,4,0.73,15.8,Matches
Squad Total,,,28.2,27.0,28,1,0,0,2,25.5,0.29,-0.5,-0.02,118,313,37.7,636,132,30.7,33.1,182,64.8,49.7,334,17,5.1,35,1.3,18.0,
Opponent Total,,,27.9,27.0,36,3,1,1,1,35.6,0.29,0.6,0.02,203,508,40.0,820,153,43.0,37.1,241,64.3,50.3,491,35,7.1,29,1.07,13.3,
