Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Óscar de Marcos,es ESP,DF,33-354,22.8,4,0,0,32,11,2,97,22,22,0,0,1,147,18,18,50.0,Matches
Nico Williams,es ESP,FW,20-265,22.5,1,0,0,17,23,11,129,6,12,1,0,0,111,11,20,35.5,Matches
Iñaki Williams,gh GHA,FW,28-292,21.6,1,0,0,22,18,19,65,5,10,0,0,0,54,23,26,46.9,Matches
Oihan Sancet,es ESP,MF,22-343,19.8,2,1,0,29,38,1,9,3,10,0,0,0,107,17,17,50.0,Matches
Unai Simón,es ESP,GK,25-296,21.5,1,0,0,0,1,0,0,0,0,0,0,0,26,0,0,,Matches
Yeray Álvarez,es ESP,DF,28-069,21.1,5,1,0,18,19,1,9,39,18,0,1,0,148,41,34,54.7,Matches
Mikel Vesga,es ESP,MF,29-317,20.6,4,0,0,34,15,0,9,26,23,1,0,1,157,49,32,60.5,Matches
Álex Berenguer,es ESP,FW,27-273,18.8,0,0,0,35,20,14,96,7,27,0,0,0,88,28,31,47.5,Matches
Daniel Vivian,es ESP,DF,23-262,18.1,4,0,0,26,12,1,5,22,20,0,0,0,143,29,42,40.8,Matches
Yuri Berchiche,es ESP,DF,33-052,15.7,7,1,1,20,21,3,47,26,17,0,0,0,95,30,13,69.8,Matches
Iker Muniain,es ESP,"MF,FW",30-105,15.4,2,0,0,11,52,0,89,3,13,0,0,0,64,2,13,13.3,Matches
Iñigo Lekue,es ESP,DF,29-334,13.9,1,0,0,14,5,1,42,13,16,0,0,0,113,17,8,68.0,Matches
Iñigo Martínez,es ESP,DF,31-321,12.0,1,0,0,9,9,3,4,16,6,0,0,0,74,23,16,59.0,Matches
Dani García,es ESP,MF,32-314,10.9,3,0,0,22,11,0,3,13,17,0,0,0,61,16,15,51.6,Matches
Gorka Guruzeta,es ESP,FW,26-203,9.0,1,0,0,19,6,13,1,4,12,0,0,0,25,20,32,38.5,Matches
Raúl García,es ESP,"FW,MF",36-266,8.1,2,0,0,11,15,7,10,5,7,0,0,0,25,23,25,47.9,Matches
Oier Zarraga,es ESP,MF,24-089,7.5,4,0,0,12,11,0,22,6,7,0,0,0,44,9,10,47.4,Matches
Julen Agirrezabala,es ESP,GK,22-098,5.5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,Matches
Ander Herrera,es ESP,MF,33-232,3.4,3,1,0,11,4,0,1,5,4,0,0,0,20,2,1,66.7,Matches
Aitor Paredes,es ESP,DF,22-339,2.6,1,0,0,5,2,0,0,7,2,0,0,0,18,2,2,50.0,Matches
Mikel Balenziaga,es ESP,DF,35-033,1.3,0,0,0,3,0,0,3,1,4,0,0,0,6,0,0,,Matches
Asier Villalibre,es ESP,FW,25-185,1.1,0,0,0,3,1,0,0,0,0,0,0,0,2,2,2,50.0,Matches
Unai Vencedor Paris,es ESP,MF,22-139,1.7,2,0,0,9,2,0,2,1,1,0,0,0,13,1,0,100.0,Matches
Jon Morcillo,es ESP,"FW,MF",24-200,0.8,0,0,0,1,1,0,6,1,0,0,0,0,7,1,1,50.0,Matches
Ander Capa,es ESP,"DF,MF",31-054,0.4,0,0,0,2,0,0,3,0,1,0,0,0,5,1,0,100.0,Matches
Malcom Abdulai Ares Djalo,es ESP,FW,21-173,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,28.1,27.0,49,4,1,365,297,76,652,231,249,2,1,2,1562,365,358,50.5,
Opponent Total,,,27.9,27.0,66,1,0,317,341,53,421,263,277,1,4,1,1486,358,365,49.5,
