Player,minutes_played,matches_played,matches_started,tackles,tackles_won,defensive_third_tackles,midfield_tackles,attacking_third_tackles,shots_blocked,interceptions,clearances,errors_leading_to_goal,shot_creating_actions,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creation_actions,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,yellow_cards,red_cards,fouls,fouls_drawn,offsides,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,assists,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_box,crosses_into_penalty_area,progressive_passes,touches_penalty_area_defending,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_penalty_area_attacking,attempted_take_ons,successful_take_ons,tackled_take_ons,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,carry_miscontrols,carry_dispossessions,goals,total_shots,shots_on_target,goals_per_shot,average_shot_distance,freekick_shots,penalty_kicks_converted,penalty_kicks_attempted,xG
Marc-André ter Stegen,2250.0,25,25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,4.0,1.0,156.0,159.0,412.0,419.0,242.0,382.0,0.0,0.0,1.0,8.0,0.0,0.0,3.0,743.0,986.0,11.0,0.0,0.0,0.0,0.0,0.0,640.0,3132.0,2189.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Robert Lewandowski,1677.0,21,20,9.0,6.0,0.0,3.0,6.0,0.0,1.0,9.0,0.0,57.0,42.0,1.0,2.0,10.0,2.0,0.0,10.0,5.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,26.0,28.0,13.0,0.0,0.0,0.0,35.0,33.0,29.0,215.0,254.0,97.0,127.0,19.0,26.0,5.0,2.9,20.0,29.0,22.0,2.0,62.0,10.0,25.0,265.0,403.0,119.0,35.0,18.0,15.0,456.0,2232.0,791.0,25.0,21.0,13.0,59.0,26.0,15.0,78.0,38.0,0.19,12.9,2.0,0.0,1.0,14.4
Frenkie de Jong,1691.0,23,19,29.0,15.0,9.0,14.0,6.0,0.0,27.0,16.0,1.0,67.0,54.0,4.0,4.0,2.0,1.0,2.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,22.0,1.0,0.0,0.0,0.0,120.0,18.0,10.0,674.0,718.0,462.0,502.0,89.0,112.0,1.0,3.5,25.0,145.0,31.0,3.0,154.0,27.0,258.0,953.0,355.0,31.0,41.0,24.0,14.0,1070.0,6693.0,3896.0,58.0,54.0,6.0,18.0,18.0,2.0,14.0,9.0,0.14,18.4,0.0,0.0,0.0,1.8
Gavi,1627.0,24,19,33.0,20.0,5.0,22.0,6.0,4.0,16.0,15.0,0.0,54.0,43.0,0.0,3.0,2.0,3.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,54.0,38.0,7.0,0.0,0.0,0.0,82.0,28.0,20.0,425.0,462.0,191.0,226.0,39.0,55.0,2.0,2.6,29.0,63.0,29.0,3.0,82.0,18.0,97.0,529.0,385.0,50.0,43.0,17.0,17.0,642.0,3316.0,1516.0,31.0,39.0,6.0,43.0,20.0,1.0,17.0,4.0,0.06,16.2,0.0,0.0,0.0,2.0
Alejandro Balde,1570.0,22,19,27.0,19.0,17.0,8.0,2.0,2.0,9.0,13.0,1.0,39.0,32.0,0.0,5.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,17.0,2.0,0.0,0.0,0.0,102.0,9.0,11.0,584.0,621.0,335.0,363.0,56.0,80.0,4.0,3.3,17.0,54.0,12.0,7.0,51.0,29.0,296.0,597.0,404.0,45.0,57.0,33.0,19.0,821.0,4623.0,2570.0,57.0,46.0,21.0,24.0,11.0,0.0,7.0,2.0,0.0,21.3,0.0,0.0,0.0,0.4
Sergio Busquets,1557.0,21,19,43.0,21.0,17.0,21.0,5.0,6.0,17.0,27.0,2.0,39.0,37.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,23.0,34.0,0.0,0.0,0.0,0.0,125.0,42.0,39.0,495.0,542.0,465.0,514.0,114.0,135.0,3.0,2.0,13.0,133.0,15.0,2.0,142.0,46.0,280.0,926.0,199.0,10.0,10.0,6.0,2.0,779.0,3089.0,1474.0,11.0,20.0,0.0,14.0,10.0,0.0,6.0,1.0,0.0,23.4,0.0,0.0,0.0,0.3
Pedri,1629.0,21,18,36.0,20.0,13.0,16.0,7.0,0.0,11.0,7.0,1.0,71.0,60.0,6.0,0.0,2.0,2.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,36.0,3.0,0.0,0.0,0.0,114.0,1.0,2.0,479.0,524.0,384.0,434.0,140.0,168.0,0.0,3.8,34.0,125.0,22.0,1.0,147.0,11.0,133.0,771.0,454.0,44.0,47.0,29.0,16.0,955.0,5465.0,2741.0,50.0,69.0,11.0,29.0,23.0,6.0,17.0,9.0,0.35,16.3,0.0,0.0,0.0,3.7
Jules Koundé,1391.0,17,16,20.0,14.0,10.0,8.0,2.0,6.0,13.0,30.0,1.0,22.0,21.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,8.0,1.0,0.0,0.0,1.0,86.0,22.0,12.0,450.0,494.0,476.0,514.0,88.0,121.0,2.0,1.3,6.0,118.0,8.0,2.0,100.0,66.0,409.0,717.0,181.0,22.0,14.0,6.0,6.0,843.0,4194.0,2588.0,29.0,28.0,3.0,16.0,9.0,0.0,7.0,0.0,0.0,13.8,0.0,0.0,0.0,0.6
Raphinha,1269.0,24,14,16.0,13.0,4.0,3.0,9.0,1.0,11.0,9.0,0.0,68.0,48.0,12.0,2.0,4.0,1.0,1.0,10.0,9.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,10.0,24.0,10.0,0.0,0.0,0.0,66.0,6.0,7.0,304.0,353.0,179.0,229.0,72.0,145.0,4.0,5.6,34.0,29.0,50.0,11.0,69.0,12.0,55.0,332.0,625.0,95.0,67.0,29.0,33.0,653.0,3659.0,1795.0,67.0,41.0,44.0,39.0,14.0,6.0,47.0,13.0,0.13,17.4,6.0,0.0,0.0,6.1
Andreas Christensen,1173.0,15,14,14.0,9.0,5.0,9.0,0.0,8.0,13.0,39.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,69.0,31.0,11.0,354.0,380.0,515.0,526.0,78.0,101.0,1.0,0.6,5.0,58.0,3.0,0.0,65.0,89.0,444.0,652.0,33.0,7.0,2.0,0.0,2.0,789.0,4103.0,2393.0,16.0,12.0,0.0,8.0,1.0,0.0,4.0,2.0,0.0,16.2,0.0,0.0,0.0,0.2
