Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Brennan Johnson,wls WAL,FW,21-262,21,19,1706.0,19.0,5.0,2.0,7.0,4.0,1.0,2.0,4.0,0.0,5.9,4.3,2.6,6.9,50.0,23.0,91.0,0.26,0.11,0.37,0.21,0.32,0.31,0.14,0.45,0.23,0.37,Matches
Dean Henderson,eng ENG,GK,25-334,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",23-013,18,17,1466.0,16.3,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,3.1,3.1,4.7,7.8,33.0,69.0,93.0,0.12,0.25,0.37,0.12,0.37,0.19,0.29,0.48,0.19,0.48,Matches
Scott McKenna,sct SCO,DF,26-089,17,16,1456.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.8,0.9,5.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.0,0.06,Matches
Ryan Yates,eng ENG,MF,25-080,18,16,1392.0,15.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,2.2,2.2,1.1,3.3,8.0,36.0,20.0,0.0,0.06,0.06,0.0,0.06,0.14,0.07,0.21,0.14,0.21,Matches
Remo Freuler,ch SUI,MF,30-300,17,15,1371.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.6,0.9,5.0,36.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches
Neco Williams,wls WAL,DF,21-302,21,13,1215.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.3,2.3,34.0,21.0,52.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.17,0.07,0.17,Matches
Joe Worrall,eng ENG,DF,26-030,16,12,1167.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.5,0.7,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Matches
Renan Lodi,br BRA,DF,24-307,13,12,1009.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.5,1.1,15.0,18.0,38.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1,Matches
Serge Aurier,ci CIV,DF,30-047,13,11,992.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.8,1.3,28.0,41.0,34.0,0.09,0.0,0.09,0.09,0.09,0.04,0.07,0.11,0.04,0.11,Matches
Steve Cook,eng ENG,DF,31-296,12,11,957.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.6,0.7,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,0.01,0.07,Matches
Jesse Lingard,eng ENG,"FW,MF",30-056,14,11,861.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7,1.7,10.0,32.0,31.0,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.18,0.11,0.18,Matches
Taiwo Awoniyi,ng NGA,FW,25-181,16,9,730.0,8.1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.5,4.5,1.0,5.5,11.0,7.0,33.0,0.49,0.0,0.49,0.49,0.49,0.56,0.12,0.68,0.56,0.68,Matches
Cheikhou Kouyaté,sn SEN,"MF,DF",33-050,12,9,704.0,7.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,1.0,6.0,16.0,8.0,0.13,0.0,0.13,0.13,0.13,0.04,0.08,0.12,0.04,0.12,Matches
Orel Mangala,be BEL,MF,24-328,13,9,638.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,10.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches
Willy Boly,ci CIV,DF,32-006,7,7,586.0,6.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,1.0,10.0,0.0,0.0,0.15,0.15,0.0,0.15,0.0,0.03,0.03,0.0,0.03,Matches
Harry Toffolo,eng ENG,DF,27-174,10,6,613.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.9,7.0,21.0,32.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.13,0.02,0.13,Matches
Lewis O'Brien,eng ENG,MF,24-118,13,6,584.0,6.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.5,13.0,21.0,3.0,0.15,0.0,0.15,0.15,0.15,0.05,0.03,0.08,0.05,0.08,Matches
Emmanuel Dennis,ng NGA,FW,25-086,10,3,373.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.3,1.0,9.0,9.0,26.0,0.24,0.24,0.48,0.24,0.48,0.17,0.08,0.25,0.17,0.25,Matches
Wayne Hennessey,wls WAL,GK,36-016,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Moussa Niakhate,fr FRA,DF,26-338,2,2,160.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches
Chris Wood,nz NZL,FW,31-064,2,2,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Jack Colback,eng ENG,MF,33-108,8,1,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,4.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Sam Surridge,eng ENG,FW,24-196,14,1,264.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,0.1,1.8,2.0,5.0,13.0,0.34,0.0,0.34,0.34,0.34,0.61,0.02,0.63,0.61,0.63,Matches
Gustavo Scarpa,br BRA,MF,29-035,3,1,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,8.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.15,0.03,0.17,0.15,0.17,Matches
Danilo,br BRA,MF,21-286,2,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Keylor Navas,cr CRC,GK,36-056,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giulian Biancone,fr FRA,DF,22-315,2,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alexander Mighten,eng ENG,FW,20-304,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cafú,pt POR,MF,29-348,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
André Ayew,gh GHA,FW,33-054,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Loïc Bade,fr FRA,DF,22-304,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Felipe,br BRA,DF,33-269,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Oliver Hammond,wls WAL,MF,20-088,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Loïc Mbe Soh,fr FRA,DF,21-241,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jordan Smith,eng ENG,GK,28-063,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dale Taylor,nir NIR,FW,19-059,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lyle Taylor,ms MSR,FW,32-317,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.6,21,231,1890.0,21.0,16.0,9.0,25.0,15.0,1.0,2.0,48.0,0.0,23.4,21.9,17.4,39.3,265.0,506.0,500.0,0.76,0.43,1.19,0.71,1.14,1.12,0.83,1.94,1.04,1.87,
Opponent Total,,,27.4,21,231,1890.0,21.0,35.0,24.0,59.0,33.0,2.0,5.0,39.0,0.0,31.3,27.6,22.1,49.7,447.0,965.0,947.0,1.67,1.14,2.81,1.57,2.71,1.49,1.05,2.54,1.31,2.36,
