Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Brennan Johnson,wls WAL,FW,21-262,19.0,5,31,16,51.6,1.64,0.84,0.13,0.25,16.9,0,1,2,5.9,4.3,0.14,-0.9,-0.3,Matches
Dean Henderson,eng ENG,GK,25-334,18.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",23-013,16.3,2,34,10,29.4,2.09,0.61,0.06,0.2,19.0,3,0,0,3.1,3.1,0.09,-1.1,-1.1,Matches
Scott McKenna,sct SCO,DF,26-089,16.2,0,2,0,0.0,0.12,0.0,0.0,,8.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Ryan Yates,eng ENG,MF,25-080,15.5,0,25,5,20.0,1.62,0.32,0.0,0.0,16.9,0,0,0,2.2,2.2,0.09,-2.2,-2.2,Matches
Remo Freuler,ch SUI,MF,30-300,15.2,0,6,1,16.7,0.39,0.07,0.0,0.0,22.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Neco Williams,wls WAL,DF,21-302,13.5,0,20,5,25.0,1.48,0.37,0.0,0.0,21.7,2,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
Joe Worrall,eng ENG,DF,26-030,13.0,0,4,0,0.0,0.31,0.0,0.0,,15.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Renan Lodi,br BRA,DF,24-307,11.2,0,9,0,0.0,0.8,0.0,0.0,,20.3,2,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Serge Aurier,ci CIV,DF,30-047,11.0,1,5,1,20.0,0.45,0.09,0.2,1.0,15.2,0,0,0,0.5,0.5,0.1,0.5,0.5,Matches
Steve Cook,eng ENG,DF,31-296,10.6,0,3,0,0.0,0.28,0.0,0.0,,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Jesse Lingard,eng ENG,"FW,MF",30-056,9.6,0,10,2,20.0,1.05,0.21,0.0,0.0,19.3,0,0,0,1.0,1.0,0.1,-1.0,-1.0,Matches
Taiwo Awoniyi,ng NGA,FW,25-181,8.1,4,19,8,42.1,2.34,0.99,0.21,0.5,11.9,0,0,0,4.5,4.5,0.25,-0.5,-0.5,Matches
Cheikhou Kouyaté,sn SEN,"MF,DF",33-050,7.8,1,5,5,100.0,0.64,0.64,0.2,0.2,17.1,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
Orel Mangala,be BEL,MF,24-328,7.1,0,6,1,16.7,0.85,0.14,0.0,0.0,21.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Willy Boly,ci CIV,DF,32-006,6.5,0,1,0,0.0,0.15,0.0,0.0,,22.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Harry Toffolo,eng ENG,DF,27-174,6.8,0,3,0,0.0,0.44,0.0,0.0,,18.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Lewis O'Brien,eng ENG,MF,24-118,6.5,1,7,2,28.6,1.08,0.31,0.14,0.5,23.8,0,0,0,0.3,0.3,0.05,0.7,0.7,Matches
Emmanuel Dennis,ng NGA,FW,25-086,4.1,1,9,2,22.2,2.17,0.48,0.11,0.5,14.6,2,0,0,0.7,0.7,0.08,0.3,0.3,Matches
Wayne Hennessey,wls WAL,GK,36-016,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Moussa Niakhate,fr FRA,DF,26-338,1.8,0,3,2,66.7,1.69,1.13,0.0,0.0,8.5,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Chris Wood,nz NZL,FW,31-064,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
