Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Brennan Johnson,wls WAL,FW,21-262,19.0,165,300,55.0,2311,524,87,129,67.4,56,100,56.0,9,24,37.5,2,2.6,1.2,-0.6,17,8,11,2,23,Matches
Dean Henderson,eng ENG,GK,25-334,18.0,425,671,63.3,12543,8838,80,80,100.0,186,188,98.9,159,400,39.8,0,0.0,0.0,0.0,0,11,1,0,0,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",23-013,16.3,345,563,61.3,5506,2028,176,234,75.2,105,149,70.5,45,125,36.0,4,4.7,3.3,-0.7,37,35,25,4,69,Matches
Scott McKenna,sct SCO,DF,26-089,16.2,550,691,79.6,10959,4150,157,185,84.9,323,376,85.9,64,115,55.7,0,0.8,0.3,-0.8,7,34,3,1,33,Matches
Ryan Yates,eng ENG,MF,25-080,15.5,374,479,78.1,6395,1537,161,194,83.0,172,196,87.8,30,54,55.6,1,1.1,0.3,-0.1,6,22,2,0,36,Matches
Remo Freuler,ch SUI,MF,30-300,15.2,458,573,79.9,6991,2323,245,281,87.2,167,200,83.5,26,51,51.0,0,0.6,0.5,-0.6,9,34,4,3,36,Matches
Neco Williams,wls WAL,DF,21-302,13.5,389,609,63.9,6978,2480,177,216,81.9,146,211,69.2,53,136,39.0,0,1.3,1.1,-1.3,12,17,12,8,21,Matches
Joe Worrall,eng ENG,DF,26-030,13.0,519,653,79.5,10850,3838,149,175,85.1,283,325,87.1,85,139,61.2,0,0.5,0.4,-0.5,2,50,2,0,40,Matches
Renan Lodi,br BRA,DF,24-307,11.2,327,467,70.0,5695,1834,153,176,86.9,135,184,73.4,31,82,37.8,0,0.5,0.5,-0.5,5,13,8,4,18,Matches
Serge Aurier,ci CIV,DF,30-047,11.0,368,544,67.6,5658,2597,197,255,77.3,136,196,69.4,25,54,46.3,0,0.8,0.7,-0.8,8,22,8,5,41,Matches
Steve Cook,eng ENG,DF,31-296,10.6,369,459,80.4,7884,2511,80,99,80.8,234,261,89.7,51,91,56.0,0,0.6,0.6,-0.6,3,18,2,1,19,Matches
Jesse Lingard,eng ENG,"FW,MF",30-056,9.6,211,266,79.3,3160,862,108,122,88.5,80,95,84.2,11,24,45.8,0,0.7,0.5,-0.7,10,26,7,1,32,Matches
Taiwo Awoniyi,ng NGA,FW,25-181,8.1,90,124,72.6,1049,138,63,76,82.9,19,26,73.1,1,4,25.0,0,1.0,0.3,-1.0,8,3,1,0,7,Matches
Cheikhou Kouyaté,sn SEN,"MF,DF",33-050,7.8,159,206,77.2,2545,705,79,101,78.2,51,60,85.0,17,23,73.9,0,0.6,0.3,-0.6,5,11,2,0,16,Matches
Orel Mangala,be BEL,MF,24-328,7.1,203,253,80.2,2986,791,112,124,90.3,72,84,85.7,11,24,45.8,0,0.1,0.1,-0.1,2,18,2,0,25,Matches
Willy Boly,ci CIV,DF,32-006,6.5,178,235,75.7,3376,1571,59,72,81.9,98,115,85.2,17,40,42.5,1,0.2,0.3,0.8,1,7,0,0,10,Matches
