Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Dean Henderson,eng ENG,GK,25-334,18,18,1620,18.0,31,1.72,85,52,65.9,5,5,8,6,33.3,5,2,2,1,50.0,Matches
Wayne Hennessey,wls WAL,GK,36-016,2,2,180,2.0,4,2.0,11,7,63.6,0,1,1,0,0.0,0,0,0,0,,Matches
Keylor Navas,cr CRC,GK,36-056,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Squad Total,,,26.6,21,21,1890,21.0,35,1.67,100,63,67.0,6,6,9,7,33.3,5,2,2,1,50.0,
Opponent Total,,,27.4,21,21,1890,21.0,17,0.81,65,48,75.4,9,6,6,8,38.1,2,1,1,0,50.0,
