Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Brennan Johnson,wls WAL,FW,21-262,19.0,4,0,0,22,9,9,38,2,13,0,0,0,53,13,34,27.7,Matches
Dean Henderson,eng ENG,GK,25-334,18.0,2,0,0,1,1,0,0,0,0,0,1,0,11,1,0,100.0,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",23-013,16.3,1,0,0,17,14,2,85,10,7,0,0,0,69,26,46,36.1,Matches
Scott McKenna,sct SCO,DF,26-089,16.2,4,0,0,8,4,0,2,11,7,0,1,0,63,31,22,58.5,Matches
Ryan Yates,eng ENG,MF,25-080,15.5,4,0,0,37,42,1,5,7,14,1,0,0,93,27,17,61.4,Matches
Remo Freuler,ch SUI,MF,30-300,15.2,3,0,0,17,7,0,5,25,16,0,0,0,87,16,12,57.1,Matches
Neco Williams,wls WAL,DF,21-302,13.5,4,0,0,20,13,1,66,29,33,0,0,0,87,11,15,42.3,Matches
Joe Worrall,eng ENG,DF,26-030,13.0,5,0,0,18,2,0,3,15,11,0,1,0,70,26,9,74.3,Matches
Renan Lodi,br BRA,DF,24-307,11.2,2,0,0,15,20,1,42,18,15,0,0,0,72,10,11,47.6,Matches
Serge Aurier,ci CIV,DF,30-047,11.0,1,0,0,5,15,0,29,16,22,0,0,0,73,27,12,69.2,Matches
Steve Cook,eng ENG,DF,31-296,10.6,4,0,0,5,2,0,1,12,4,0,1,0,35,27,10,73.0,Matches
Jesse Lingard,eng ENG,"FW,MF",30-056,9.6,1,0,0,8,8,2,4,4,3,0,0,0,37,1,2,33.3,Matches
Taiwo Awoniyi,ng NGA,FW,25-181,8.1,0,0,0,8,10,7,3,1,8,0,0,0,33,7,30,18.9,Matches
Cheikhou Kouyaté,sn SEN,"MF,DF",33-050,7.8,2,0,0,15,7,0,0,5,15,0,0,0,45,14,5,73.7,Matches
Orel Mangala,be BEL,MF,24-328,7.1,1,0,0,8,12,0,5,7,7,0,0,0,40,6,4,60.0,Matches
Willy Boly,ci CIV,DF,32-006,6.5,2,0,0,4,5,3,0,12,6,0,0,0,34,14,7,66.7,Matches
Harry Toffolo,eng ENG,DF,27-174,6.8,0,0,0,3,4,0,22,6,6,0,1,0,37,11,8,57.9,Matches
Lewis O'Brien,eng ENG,MF,24-118,6.5,2,0,0,5,15,0,4,5,9,0,0,0,51,2,6,25.0,Matches
Emmanuel Dennis,ng NGA,FW,25-086,4.1,2,0,0,6,16,4,4,0,3,0,0,0,18,6,8,42.9,Matches
Wayne Hennessey,wls WAL,GK,36-016,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
Moussa Niakhate,fr FRA,DF,26-338,1.8,0,0,0,3,0,0,0,1,0,0,0,0,7,11,6,64.7,Matches
Chris Wood,nz NZL,FW,31-064,1.6,0,0,0,0,2,0,0,1,0,0,0,0,2,8,10,44.4,Matches
Jack Colback,eng ENG,MF,33-108,3.1,0,0,0,4,6,0,1,2,9,0,0,0,14,2,4,33.3,Matches
Sam Surridge,eng ENG,FW,24-196,2.9,2,0,0,8,8,3,3,0,0,0,0,0,15,12,13,48.0,Matches
Gustavo Scarpa,br BRA,MF,29-035,1.2,1,0,0,1,7,0,2,0,1,0,0,0,10,1,2,33.3,Matches
Danilo,br BRA,MF,21-286,1.0,1,0,0,2,1,0,0,0,4,0,0,0,9,2,2,50.0,Matches
Keylor Navas,cr CRC,GK,36-056,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Giulian Biancone,fr FRA,DF,22-315,0.2,0,0,0,0,0,0,1,1,1,0,0,0,5,2,0,100.0,Matches
Alexander Mighten,eng ENG,FW,20-304,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
Cafú,pt POR,MF,29-348,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
André Ayew,gh GHA,FW,33-054,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,50.0,Matches
Squad Total,,,26.6,21.0,48,0,0,240,233,33,325,190,214,1,5,0,1071,315,296,51.6,
Opponent Total,,,27.4,21.0,39,0,0,245,226,37,428,163,173,2,2,1,1107,296,315,48.4,
