Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Brennan Johnson,wls WAL,FW,21-262,19.0,32,1.69,19,0,2,7,3,1,6,0.32,1,0,1,3,1,0,Matches
Dean Henderson,eng ENG,GK,25-334,18.0,3,0.17,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",23-013,16.3,69,4.24,43,14,7,3,0,2,5,0.31,2,2,1,0,0,0,Matches
Scott McKenna,sct SCO,DF,26-089,16.2,9,0.56,9,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
Ryan Yates,eng ENG,MF,25-080,15.5,20,1.29,14,0,0,4,2,0,2,0.13,0,0,0,2,0,0,Matches
Remo Freuler,ch SUI,MF,30-300,15.2,19,1.25,18,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Neco Williams,wls WAL,DF,21-302,13.5,28,2.07,18,4,3,1,0,2,2,0.15,1,0,0,1,0,0,Matches
Joe Worrall,eng ENG,DF,26-030,13.0,7,0.54,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Renan Lodi,br BRA,DF,24-307,11.2,18,1.61,13,3,0,1,1,0,1,0.09,0,0,0,1,0,0,Matches
Serge Aurier,ci CIV,DF,30-047,11.0,16,1.45,13,1,0,0,1,1,0,0.0,0,0,0,0,0,0,Matches
Steve Cook,eng ENG,DF,31-296,10.6,6,0.56,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jesse Lingard,eng ENG,"FW,MF",30-056,9.6,24,2.51,18,1,1,3,1,0,2,0.21,1,0,0,1,0,0,Matches
Taiwo Awoniyi,ng NGA,FW,25-181,8.1,17,2.1,12,0,1,1,2,1,1,0.12,0,0,0,1,0,0,Matches
Cheikhou Kouyaté,sn SEN,"MF,DF",33-050,7.8,7,0.89,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Orel Mangala,be BEL,MF,24-328,7.1,9,1.27,8,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Willy Boly,ci CIV,DF,32-006,6.5,5,0.77,5,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
Harry Toffolo,eng ENG,DF,27-174,6.8,17,2.5,12,3,1,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Lewis O'Brien,eng ENG,MF,24-118,6.5,21,3.24,14,0,1,1,3,2,0,0.0,0,0,0,0,0,0,Matches
Emmanuel Dennis,ng NGA,FW,25-086,4.1,13,3.13,7,1,1,0,4,0,2,0.48,1,0,0,0,1,0,Matches
Wayne Hennessey,wls WAL,GK,36-016,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Moussa Niakhate,fr FRA,DF,26-338,1.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Chris Wood,nz NZL,FW,31-064,1.6,1,0.62,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jack Colback,eng ENG,MF,33-108,3.1,2,0.64,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sam Surridge,eng ENG,FW,24-196,2.9,4,1.36,3,0,0,1,0,0,1,0.34,1,0,0,0,0,0,Matches
Gustavo Scarpa,br BRA,MF,29-035,1.2,8,6.86,2,1,1,1,2,1,0,0.0,0,0,0,0,0,0,Matches
Danilo,br BRA,MF,21-286,1.0,2,1.98,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Keylor Navas,cr CRC,GK,36-056,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Giulian Biancone,fr FRA,DF,22-315,0.2,1,5.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alexander Mighten,eng ENG,FW,20-304,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cafú,pt POR,MF,29-348,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
André Ayew,gh GHA,FW,33-054,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.6,21.0,358,17.05,256,29,18,24,20,11,24,1.14,9,2,2,9,2,0,
Opponent Total,,,27.4,21.0,528,25.14,389,46,21,39,29,4,61,2.9,49,5,0,4,2,1,
