Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Brennan Johnson,wls WAL,FW,21-262,21,1706.0,81.0,90.3,19.0,19,87.0,12,2,31.0,0,1.14,16.0,29.0,-13.0,-0.69,1.76,20.4,26.7,-6.2,-0.33,0.46,Matches
Dean Henderson,eng ENG,GK,25-334,18,1620.0,90.0,85.7,18.0,18,90.0,18,0,,0,1.11,15.0,31.0,-16.0,-0.89,-0.22,20.5,26.6,-6.1,-0.34,0.24,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",23-013,18,1466.0,81.0,77.6,16.3,17,84.0,12,1,30.0,0,1.17,16.0,26.0,-10.0,-0.61,1.08,20.4,22.1,-1.7,-0.1,1.2,Matches
Scott McKenna,sct SCO,DF,26-089,17,1456.0,86.0,77.0,16.2,16,90.0,16,1,16.0,4,1.0,14.0,30.0,-16.0,-0.99,-0.57,18.0,25.0,-7.0,-0.43,-0.24,Matches
Ryan Yates,eng ENG,MF,25-080,18,1392.0,77.0,73.7,15.5,16,82.0,12,2,41.0,0,1.0,12.0,28.0,-16.0,-1.03,-0.67,16.8,22.8,-6.0,-0.39,-0.04,Matches
Remo Freuler,ch SUI,MF,30-300,17,1371.0,81.0,72.5,15.2,15,87.0,12,2,31.0,2,1.18,11.0,25.0,-14.0,-0.92,-0.23,16.9,22.3,-5.5,-0.36,0.06,Matches
Neco Williams,wls WAL,DF,21-302,21,1215.0,58.0,64.3,13.5,13,85.0,9,8,14.0,0,1.14,11.0,25.0,-14.0,-1.04,-0.5,14.5,21.8,-7.3,-0.54,-0.46,Matches
Joe Worrall,eng ENG,DF,26-030,16,1167.0,73.0,61.7,13.0,12,90.0,12,4,22.0,5,1.19,11.0,20.0,-9.0,-0.69,0.43,16.1,20.8,-4.7,-0.36,0.04,Matches
Renan Lodi,br BRA,DF,24-307,13,1009.0,78.0,53.4,11.2,12,83.0,7,1,19.0,1,1.31,11.0,23.0,-12.0,-1.07,-0.46,14.1,14.7,-0.5,-0.05,0.7,Matches
Serge Aurier,ci CIV,DF,30-047,13,992.0,76.0,52.5,11.0,11,82.0,7,2,45.0,0,1.54,9.0,13.0,-4.0,-0.36,1.04,12.6,14.4,-1.9,-0.17,0.43,Matches
Steve Cook,eng ENG,DF,31-296,12,957.0,80.0,50.6,10.6,11,86.0,8,1,12.0,7,0.83,7.0,21.0,-14.0,-1.32,-0.93,10.5,14.9,-4.5,-0.42,-0.09,Matches
Jesse Lingard,eng ENG,"FW,MF",30-056,14,861.0,62.0,45.6,9.6,11,73.0,2,3,20.0,4,0.86,8.0,13.0,-5.0,-0.52,0.61,10.3,13.6,-3.3,-0.34,0.06,Matches
