Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Brennan Johnson,wls WAL,FW,21-262,19.0,473,3,44,173,272,66,471,47,19,40.4,19,40.4,256,2383,1257,50,28,20,46,12,297,91,Matches
Dean Henderson,eng ENG,GK,25-334,18.0,715,600,711,5,0,0,715,0,0,,0,,397,2242,1245,0,0,0,1,0,319,0,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",23-013,16.3,755,8,78,310,378,39,755,42,24,57.1,16,38.1,424,2273,1013,33,26,10,55,30,494,93,Matches
Scott McKenna,sct SCO,DF,26-089,16.2,835,146,483,315,39,16,835,7,5,71.4,1,14.3,416,1830,909,5,1,0,2,2,488,1,Matches
Ryan Yates,eng ENG,MF,25-080,15.5,632,49,182,339,117,31,632,6,3,50.0,2,33.3,247,1047,474,8,3,2,16,15,310,20,Matches
Remo Freuler,ch SUI,MF,30-300,15.2,727,53,257,362,112,4,727,9,4,44.4,3,33.3,342,1575,686,5,10,0,13,5,389,5,Matches
Neco Williams,wls WAL,DF,21-302,13.5,814,56,311,292,229,16,814,32,13,40.6,17,53.1,399,2569,1472,34,23,3,20,15,380,52,Matches
Joe Worrall,eng ENG,DF,26-030,13.0,782,102,440,300,43,10,782,2,2,100.0,0,0.0,382,1641,890,3,3,0,3,4,466,0,Matches
Renan Lodi,br BRA,DF,24-307,11.2,587,41,218,229,148,9,587,18,8,44.4,6,33.3,295,1576,808,15,9,1,7,9,294,38,Matches
Serge Aurier,ci CIV,DF,30-047,11.0,712,59,271,277,175,8,712,15,5,33.3,5,33.3,308,1538,915,28,20,0,16,14,322,34,Matches
Steve Cook,eng ENG,DF,31-296,10.6,559,100,321,220,19,10,559,1,1,100.0,0,0.0,284,1293,577,1,3,0,3,2,350,0,Matches
Jesse Lingard,eng ENG,"FW,MF",30-056,9.6,332,7,41,179,119,14,332,9,5,55.6,4,44.4,191,916,467,10,10,0,14,9,235,31,Matches
Taiwo Awoniyi,ng NGA,FW,25-181,8.1,238,10,34,96,113,28,238,17,5,29.4,9,52.9,141,791,355,11,9,5,38,15,154,33,Matches
Cheikhou Kouyaté,sn SEN,"MF,DF",33-050,7.8,292,27,105,139,51,10,292,9,6,66.7,1,11.1,135,657,252,6,3,3,12,4,147,8,Matches
Orel Mangala,be BEL,MF,24-328,7.1,315,8,60,196,62,5,315,20,7,35.0,10,50.0,172,910,428,10,3,2,3,6,202,6,Matches
Willy Boly,ci CIV,DF,32-006,6.5,318,60,218,88,14,8,318,2,1,50.0,0,0.0,153,713,352,1,1,0,2,0,165,0,Matches
Harry Toffolo,eng ENG,DF,27-174,6.8,340,31,108,117,120,8,340,8,3,37.5,4,50.0,141,553,252,7,4,3,9,5,170,32,Matches
Lewis O'Brien,eng ENG,MF,24-118,6.5,297,19,72,161,71,3,297,17,7,41.2,3,17.6,157,947,518,13,9,2,12,7,166,3,Matches
Emmanuel Dennis,ng NGA,FW,25-086,4.1,171,0,20,63,92,18,171,23,7,30.4,12,52.2,109,682,328,9,11,4,19,15,123,26,Matches
Wayne Hennessey,wls WAL,GK,36-016,2.0,64,52,64,0,0,0,64,0,0,,0,,34,146,111,0,0,0,0,0,30,0,Matches
Moussa Niakhate,fr FRA,DF,26-338,1.8,81,22,58,19,4,3,81,3,0,0.0,3,100.0,23,94,44,0,0,0,1,1,28,0,Matches
Chris Wood,nz NZL,FW,31-064,1.6,43,2,4,28,12,3,43,1,0,0.0,1,100.0,20,80,13,0,1,0,8,3,36,6,Matches
Jack Colback,eng ENG,MF,33-108,3.1,100,10,42,50,10,0,100,0,0,,0,,28,198,110,4,4,0,4,1,40,3,Matches
Sam Surridge,eng ENG,FW,24-196,2.9,114,8,24,41,53,14,114,5,2,40.0,2,40.0,56,274,120,2,4,1,11,3,75,13,Matches
Gustavo Scarpa,br BRA,MF,29-035,1.2,71,2,16,36,20,0,71,1,1,100.0,0,0.0,47,408,285,8,4,0,0,0,51,3,Matches
Danilo,br BRA,MF,21-286,1.0,60,3,19,33,8,0,60,2,2,100.0,0,0.0,31,111,49,0,0,0,4,1,28,0,Matches
Keylor Navas,cr CRC,GK,36-056,1.0,39,33,39,0,0,0,39,0,0,,0,,12,117,53,0,0,0,0,0,4,0,Matches
Giulian Biancone,fr FRA,DF,22-315,0.2,25,2,19,5,1,0,25,0,0,,0,,10,76,61,2,1,0,0,0,13,1,Matches
Alexander Mighten,eng ENG,FW,20-304,0.1,4,0,1,0,3,0,4,3,0,0.0,2,66.7,4,27,10,0,0,0,0,0,4,1,Matches
Cafú,pt POR,MF,29-348,0.1,3,1,2,1,0,0,3,0,0,,0,,2,12,7,0,0,0,0,0,1,0,Matches
André Ayew,gh GHA,FW,33-054,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.6,21.0,10499,1515,4263,4074,2285,323,10497,299,130,43.5,120,40.1,5216,27679,14061,265,190,56,319,178,5781,500,
Opponent Total,,,27.4,21.0,14492,1157,4106,6697,3787,560,14487,317,107,33.8,156,49.2,8231,44318,24274,447,305,116,321,212,9937,947,
