Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Brennan Johnson,wls WAL,FW,21-262,19.0,17,13,8,3,6,3,8,37.5,5,21,1,20,2,19,1,1,Matches
Dean Henderson,eng ENG,GK,25-334,18.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,1,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",23-013,16.3,13,7,4,3,6,6,12,50.0,6,7,2,5,10,23,8,0,Matches
Scott McKenna,sct SCO,DF,26-089,16.2,12,7,7,3,2,6,10,60.0,4,20,14,6,11,23,81,1,Matches
Ryan Yates,eng ENG,MF,25-080,15.5,27,14,11,13,3,12,17,70.6,5,22,8,14,7,34,34,0,Matches
Remo Freuler,ch SUI,MF,30-300,15.2,33,16,19,12,2,14,26,53.8,12,23,5,18,25,58,27,0,Matches
Neco Williams,wls WAL,DF,21-302,13.5,48,33,33,10,5,26,43,60.5,17,21,5,16,29,77,29,0,Matches
Joe Worrall,eng ENG,DF,26-030,13.0,30,11,20,8,2,12,16,75.0,4,16,12,4,15,45,53,1,Matches
Renan Lodi,br BRA,DF,24-307,11.2,24,15,16,5,3,15,24,62.5,9,12,3,9,18,42,33,0,Matches
Serge Aurier,ci CIV,DF,30-047,11.0,37,22,24,10,3,13,15,86.7,2,17,4,13,16,53,45,0,Matches
Steve Cook,eng ENG,DF,31-296,10.6,8,4,4,4,0,5,7,71.4,2,16,11,5,12,20,51,0,Matches
Jesse Lingard,eng ENG,"FW,MF",30-056,9.6,3,3,2,1,0,0,3,0.0,3,10,0,10,4,7,4,0,Matches
Taiwo Awoniyi,ng NGA,FW,25-181,8.1,10,8,0,7,3,5,7,71.4,2,7,2,5,1,11,10,0,Matches
Cheikhou Kouyaté,sn SEN,"MF,DF",33-050,7.8,20,15,10,8,2,5,8,62.5,3,13,1,12,5,25,20,0,Matches
Orel Mangala,be BEL,MF,24-328,7.1,13,7,7,5,1,6,12,50.0,6,7,1,6,7,20,3,0,Matches
Willy Boly,ci CIV,DF,32-006,6.5,13,6,8,3,2,8,13,61.5,5,11,4,7,12,25,37,0,Matches
Harry Toffolo,eng ENG,DF,27-174,6.8,10,6,6,2,2,4,7,57.1,3,8,3,5,6,16,22,0,Matches
Lewis O'Brien,eng ENG,MF,24-118,6.5,16,9,4,11,1,6,12,50.0,6,13,2,11,5,21,9,0,Matches
Emmanuel Dennis,ng NGA,FW,25-086,4.1,5,3,2,2,1,2,3,66.7,1,5,0,5,0,5,2,0,Matches
Wayne Hennessey,wls WAL,GK,36-016,2.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
Moussa Niakhate,fr FRA,DF,26-338,1.8,1,0,1,0,0,1,4,25.0,3,1,1,0,1,2,18,0,Matches
Chris Wood,nz NZL,FW,31-064,1.6,0,0,0,0,0,0,0,,0,2,1,1,1,1,0,0,Matches
Jack Colback,eng ENG,MF,33-108,3.1,12,9,8,4,0,3,4,75.0,1,1,0,1,2,14,5,0,Matches
Sam Surridge,eng ENG,FW,24-196,2.9,4,0,1,2,1,0,3,0.0,3,4,2,2,0,4,6,0,Matches
Gustavo Scarpa,br BRA,MF,29-035,1.2,3,1,2,0,1,1,1,100.0,0,2,0,2,0,3,1,0,Matches
Danilo,br BRA,MF,21-286,1.0,6,4,3,3,0,1,5,20.0,4,2,1,1,0,6,3,0,Matches
Keylor Navas,cr CRC,GK,36-056,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Giulian Biancone,fr FRA,DF,22-315,0.2,2,1,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0,Matches
Alexander Mighten,eng ENG,FW,20-304,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Cafú,pt POR,MF,29-348,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
André Ayew,gh GHA,FW,33-054,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Squad Total,,,26.6,21.0,368,214,203,119,46,156,263,59.3,107,261,83,178,190,558,518,4,
Opponent Total,,,27.4,21.0,298,173,114,127,57,120,250,48.0,130,199,55,144,163,461,370,6,
