Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Hugo Lloris,fr FRA,GK,36-101,22,22,1980,22.0,30,1.36,101,72,71.3,12,3,7,7,31.8,1,1,0,0,0.0,Matches
Fraser Forster,eng ENG,GK,35-020,7,7,630,7.0,11,1.57,30,18,66.7,3,2,2,2,28.6,2,1,1,0,50.0,Matches
Squad Total,,,28.4,29,29,2610,29.0,41,1.41,131,90,70.2,15,5,9,9,31.0,3,2,1,0,33.3,
Opponent Total,,,27.4,29,29,2610,29.0,53,1.83,146,94,66.4,9,5,15,4,13.8,5,4,1,0,20.0,
