Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Harry Kane,eng ENG,FW,29-233,27,2415.0,89.0,99.4,26.8,27,89.0,24,0,,0,1.78,49.0,36.0,13.0,0.48,6.48,38.5,31.2,7.3,0.27,0.57,Matches
Pierre Højbjerg,dk DEN,MF,27-225,26,2321.0,89.0,95.5,25.8,26,89.0,24,0,,0,1.85,48.0,35.0,13.0,0.5,1.33,37.1,29.9,7.1,0.28,0.16,Matches
Eric Dier,eng ENG,DF,29-062,25,2185.0,87.0,89.9,24.3,24,90.0,23,1,34.0,2,1.92,48.0,32.0,16.0,0.66,2.13,36.2,29.4,6.9,0.28,0.13,Matches
Son Heung-min,kr KOR,"MF,FW",30-253,25,1936.0,77.0,79.7,21.5,22,85.0,13,3,22.0,0,1.8,37.0,30.0,7.0,0.33,-0.59,31.7,25.2,6.5,0.3,0.15,Matches
Hugo Lloris,fr FRA,GK,36-082,21,1890.0,90.0,77.8,21.0,21,90.0,21,0,,1,1.81,39.0,29.0,10.0,0.48,0.14,30.9,24.8,6.0,0.29,0.08,Matches
Ben Davies,wls WAL,DF,29-328,24,1795.0,75.0,73.9,19.9,20,89.0,17,4,5.0,1,1.75,33.0,24.0,9.0,0.45,0.03,26.5,19.9,6.6,0.33,0.23,Matches
Cristian Romero,ar ARG,DF,24-325,18,1554.0,86.0,64.0,17.3,17,90.0,15,1,32.0,0,1.89,30.0,19.0,11.0,0.64,0.53,23.6,19.0,4.6,0.27,0.0,Matches
Ivan Perišić,hr CRO,"DF,MF",34-044,25,1523.0,61.0,62.7,16.9,17,81.0,7,8,18.0,2,1.68,28.0,24.0,4.0,0.24,-0.56,23.4,20.5,2.9,0.17,-0.26,Matches
Rodrigo Bentancur,uy URU,MF,25-266,18,1500.0,83.0,61.7,16.7,17,86.0,10,1,33.0,0,1.89,33.0,24.0,9.0,0.54,0.25,26.4,19.6,6.8,0.41,0.36,Matches
Emerson,br BRA,DF,24-063,21,1386.0,66.0,57.0,15.4,16,81.0,9,5,17.0,2,1.81,27.0,20.0,7.0,0.45,0.02,22.2,16.8,5.4,0.35,0.19,Matches
Dejan Kulusevski,se SWE,"MF,FW",22-327,19,1382.0,73.0,56.9,15.4,16,84.0,3,3,14.0,0,1.89,28.0,21.0,7.0,0.46,0.03,20.3,19.0,1.3,0.09,-0.43,Matches
Clément Lenglet,fr FRA,DF,27-274,17,1282.0,75.0,52.8,14.2,15,84.0,8,2,9.0,9,1.65,29.0,23.0,6.0,0.42,-0.05,22.8,17.6,5.2,0.37,0.2,Matches
Ryan Sessegnon,eng ENG,DF,22-304,17,813.0,48.0,33.5,9.0,9,75.0,3,8,17.0,4,1.65,17.0,15.0,2.0,0.22,-0.34,13.5,10.8,2.7,0.3,0.04,Matches
Yves Bissouma,ml MLI,MF,26-200,20,814.0,41.0,33.5,9.0,8,80.0,3,12,14.0,1,1.65,15.0,15.0,0.0,0.0,-0.67,11.2,11.1,0.1,0.01,-0.39,Matches
Richarlison,br BRA,"MF,FW",25-312,18,747.0,42.0,30.7,8.3,8,72.0,1,10,17.0,1,1.94,17.0,12.0,5.0,0.6,0.23,13.6,10.0,3.6,0.43,0.24,Matches
Matt Doherty,ie IRL,"DF,MF",31-061,12,667.0,56.0,27.4,7.4,7,82.0,2,5,18.0,9,1.33,12.0,9.0,3.0,0.4,-0.05,9.0,8.6,0.4,0.06,-0.29,Matches
Oliver Skipp,eng ENG,MF,22-183,12,556.0,46.0,22.9,6.2,7,76.0,2,5,5.0,10,1.75,10.0,5.0,5.0,0.81,0.47,7.9,5.3,2.6,0.41,0.19,Matches
Davinson Sánchez,co COL,DF,26-279,13,573.0,44.0,23.6,6.4,6,77.0,3,7,16.0,14,1.77,12.0,9.0,3.0,0.47,0.04,9.8,7.4,2.5,0.39,0.16,Matches
Fraser Forster,eng ENG,GK,35-001,6,540.0,90.0,22.2,6.0,6,90.0,6,0,,21,1.67,10.0,8.0,2.0,0.33,-0.14,7.8,6.6,1.2,0.21,-0.08,Matches
Pedro Porro,es ESP,DF,23-186,4,246.0,62.0,10.1,2.7,3,81.0,1,1,2.0,2,1.5,4.0,4.0,0.0,0.0,-0.49,4.3,3.5,0.8,0.28,0.01,Matches
Bryan,es ESP,"MF,FW",22-035,4,148.0,37.0,6.1,1.6,2,69.0,0,2,5.0,12,1.5,5.0,1.0,4.0,2.43,2.12,2.3,1.0,1.3,0.79,0.55,Matches
Japhet Tanganga,eng ENG,DF,23-352,2,141.0,71.0,5.8,1.6,2,71.0,0,0,,19,0.5,2.0,5.0,-3.0,-1.91,-2.5,1.4,3.3,-1.9,-1.22,-1.58,Matches
Pape Matar Sarr,sn SEN,MF,20-185,6,139.0,23.0,5.7,1.5,1,75.0,0,5,13.0,9,1.5,2.0,3.0,-1.0,-0.65,-1.16,2.1,2.5,-0.4,-0.25,-0.55,Matches
Lucas Moura,br BRA,"MF,DF",30-217,11,120.0,11.0,4.9,1.3,0,,0,11,11.0,3,1.73,4.0,2.0,2.0,1.5,1.11,2.8,1.4,1.4,1.04,0.82,Matches
Arnaut Danjuma,nl NED,FW,26-046,1,12.0,12.0,0.5,0.1,0,,0,1,12.0,5,0.0,0.0,1.0,-1.0,-7.5,-7.98,0.1,0.1,0.0,-0.15,-0.42,Matches
Djed Spence,eng ENG,"FW,DF",22-221,4,7.0,2.0,0.3,0.1,0,,0,4,2.0,8,1.5,0.0,0.0,0.0,0.0,-0.45,0.3,0.5,-0.2,-2.4,-2.68,Matches
Harvey White,eng ENG,MF,21-180,1,5.0,5.0,0.2,0.1,0,,0,1,5.0,2,3.0,0.0,0.0,0.0,0.0,-0.45,0.0,0.0,0.0,0.52,0.25,Matches
Brandon Austin,eng ENG,GK,24-069,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
