10,Fulham,28,11,6,11.1,39,39.1,0,39.2,1.39,34.5,47.5,-13.1,-0.47,W D L L L,"23,502",Aleksandar Mitrović - 11,Bernd Leno,Unnamed: 19
11,Chelsea,28,10,8,10,29,30,-1,38,1.36,35.7,35.2,0.5,0.02,L W W D L,39981,Kai Havertz - 7,Kepa Arrizabalaga,
12,Crystal Palace,29,7,9,13,24,39,-15,30,1.03,27.1,39.6,-12.4,-0.43,L L L L W,23223,Wilfried Zaha - 6,Vicente Guaita,
13,Wolves,29,7,7,15,23,42,-19,28,0.97,29.4,41.8,-12.4,-0.43,L W L L D,31583,Daniel Podence - 6,José Sá,
14,Nott'ham Forest,28,6,9,13,23,50,-27,27,0.96,29.5,44.5,-15.1,-0.54,L D L L D,29177,Brennan Johnson - 8,Dean Henderson,
