Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Marc Guéhi,eng ENG,DF,22-264,28.0,1351,1576,85.7,27085,10414,434,473,91.8,765,819,93.4,144,260,55.4,0,0.3,0.3,-0.3,6,100,2,0,81,Matches
Vicente Guaita,es ESP,GK,36-083,27.0,610,845,72.2,15748,10443,159,161,98.8,258,263,98.1,182,405,44.9,0,0.0,0.0,0.0,0,3,0,0,1,Matches
Cheick Doucouré,ml MLI,MF,23-085,23.5,784,951,82.4,13244,4282,366,410,89.3,339,396,85.6,62,87,71.3,2,1.8,1.0,0.2,21,89,9,0,110,Matches
Jeffrey Schlupp,gh GHA,"MF,FW",30-101,23.4,585,776,75.4,9358,2469,294,360,81.7,227,275,82.5,46,87,52.9,0,1.0,0.8,-1.0,15,49,10,0,85,Matches
Tyrick Mitchell,eng ENG,DF,23-214,23.1,766,1089,70.3,12237,5854,401,476,84.2,313,424,73.8,41,126,32.5,2,1.0,0.9,1.0,11,60,14,6,73,Matches
Wilfried Zaha,ci CIV,"FW,MF",30-144,22.9,430,553,77.8,5999,1327,276,314,87.9,123,152,80.9,17,33,51.5,2,2.5,2.6,-0.5,23,16,34,2,60,Matches
Joachim Andersen,dk DEN,DF,26-307,22.4,1121,1413,79.3,26444,10055,257,286,89.9,649,706,91.9,209,391,53.5,0,0.9,0.7,-0.9,7,90,7,1,66,Matches
Michael Olise,fr FRA,"FW,MF",21-112,21.6,694,989,70.2,11518,3381,366,417,87.8,240,322,74.5,70,179,39.1,5,4.7,3.6,0.3,46,55,29,9,92,Matches
Jordan Ayew,gh GHA,"FW,MF",31-204,21.4,468,615,76.1,6206,1292,295,339,87.0,142,185,76.8,13,34,38.2,2,2.5,2.0,-0.5,24,28,9,6,46,Matches
Eberechi Eze,eng ENG,"MF,FW",24-278,20.3,642,823,78.0,9793,2767,381,436,87.4,191,235,81.3,50,109,45.9,3,3.1,2.3,-0.1,41,56,22,2,84,Matches
Nathaniel Clyne,eng ENG,DF,31-363,18.2,649,827,78.5,10147,3870,337,382,88.2,282,345,81.7,24,73,32.9,0,0.7,0.6,-0.7,7,50,6,5,52,Matches
Joel Ward,eng ENG,DF,33-156,16.6,586,778,75.3,9534,4251,292,335,87.2,237,293,80.9,39,107,36.4,0,0.1,0.2,-0.1,3,43,3,1,57,Matches
Odsonne Édouard,fr FRA,FW,25-077,15.1,235,324,72.5,2701,462,169,208,81.3,47,72,65.3,3,8,37.5,2,1.1,0.7,0.9,15,7,9,0,29,Matches
Jean-Philippe Mateta,fr FRA,FW,25-279,7.8,93,135,68.9,1045,139,63,85,74.1,17,25,68.0,3,4,75.0,0,0.6,0.1,-0.6,5,4,0,0,6,Matches
Albert Sambi Lokonga,be BEL,MF,23-163,5.2,205,238,86.1,3435,974,97,108,89.8,89,94,94.7,16,25,64.0,0,0.0,0.1,0.0,1,19,0,0,17,Matches
Luka Milivojević,rs SRB,MF,31-361,4.6,161,203,79.3,2670,874,76,84,90.5,66,81,81.5,13,27,48.1,0,0.2,0.2,-0.2,2,13,1,0,16,Matches
Will Hughes,eng ENG,MF,27-351,4.8,148,197,75.1,2188,754,85,98,86.7,50,66,75.8,9,20,45.0,0,0.1,0.2,-0.1,2,15,3,0,18,Matches
Chris Richards,us USA,DF,23-006,4.0,120,146,82.2,2302,723,40,49,81.6,65,74,87.8,15,23,65.2,0,0.3,0.0,-0.3,1,8,0,0,9,Matches
James Tomkins,eng ENG,DF,34-005,3.7,138,171,80.7,2645,822,47,55,85.5,79,87,90.8,12,27,44.4,0,0.0,0.0,0.0,0,2,0,0,2,Matches
Joseph Whitworth,eng ENG,GK,19-033,2.0,61,83,73.5,1486,886,12,12,100.0,36,37,97.3,13,34,38.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Naouirou Ahamada,fr FRA,"MF,FW",21-005,1.0,37,46,80.4,550,179,19,23,82.6,15,17,88.2,1,3,33.3,0,0.1,0.0,-0.1,1,3,0,0,2,Matches
Jaïro Riedewald,nl NED,"DF,FW",26-206,0.5,26,35,74.3,351,74,17,18,94.4,9,13,69.2,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Malcolm Ebiowei,eng ENG,"MF,FW",19-211,0.4,5,10,50.0,98,16,2,4,50.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
James McArthur,sct SCO,MF,35-178,0.1,7,8,87.5,133,7,2,2,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
David Ozoh,,FW,17-307,0.0,3,3,100.0,24,0,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,27.6,29.0,9925,12834,77.3,176941,66315,4490,5138,87.4,4245,4987,85.1,984,2068,47.6,18,20.5,16.2,-2.5,231,711,158,32,908,
Opponent Total,,,27.3,29.0,13500,16546,81.6,230364,80331,6352,7137,89.0,5555,6385,87.0,1208,2093,57.7,27,29.2,29.1,-2.2,283,1029,303,71,1333,
