Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Predrag Rajković,rs SRB,GK,27-154,27,27,2430,27.0,27,1.0,91,63,75.8,9,6,12,9,33.3,6,5,1,0,16.7,Matches
Squad Total,,,28.7,27,27,2430,27.0,27,1.0,91,63,75.8,9,6,12,9,33.3,6,5,1,0,16.7,
Opponent Total,,,28.3,27,27,2430,27.0,22,0.81,81,59,75.3,12,6,9,11,40.7,3,2,1,0,33.3,
