Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
9,Osasuna,12,6,1,5,12,11,1,19,1.58,16.6,11.6,5.0,0.42,13,3,6,4,10,13,-3,15,1.15,9.4,16.0,-6.6,-0.51
10,Celta Vigo,13,5,4,4,19,14,5,19,1.46,15.4,11.1,4.4,0.34,13,4,3,6,13,21,-8,15,1.15,16.9,17.9,-1.0,-0.08
11,Mallorca,13,6,3,4,13,10,3,21,1.62,12.9,11.6,1.3,0.1,12,3,2,7,9,16,-7,11,0.92,9.3,16.3,-7.0,-0.58
12,Girona,13,6,3,4,23,18,5,21,1.62,19.7,14.6,5.2,0.4,13,2,4,7,17,23,-6,10,0.77,15.7,20.7,-5.0,-0.39
13,Sevilla,13,5,3,5,16,16,0,18,1.38,20.4,16.1,4.2,0.33,12,2,4,6,13,24,-11,10,0.83,10.4,23.7,-13.3,-1.11
