Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Michele Di Gregorio,it ITA,GK,25-250,26,26,2340,26.0,34,1.31,109,76,68.8,9,7,10,7,26.9,0,0,0,0,,Matches
Alessio Cragno,it ITA,GK,28-279,1,1,90,1.0,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,27.3,27,27,2430,27.0,37,1.37,114,78,67.5,9,7,11,7,25.9,0,0,0,0,,
Opponent Total,,,27.2,27,27,2430,27.0,32,1.19,99,68,71.7,11,7,9,7,25.9,4,4,0,0,0.0,
