Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Michele Di Gregorio,it ITA,GK,25-253,27.0,36,0,1,3,1,35.1,0.32,0.1,0.0,112,321,34.9,894,171,29.4,32.1,171,33.9,32.8,375,13,3.5,21,0.78,12.4,Matches
Alessio Cragno,it ITA,GK,28-282,1.0,3,0,0,0,0,1.7,0.35,-1.3,-1.33,2,4,50.0,25,4,12.0,22.6,6,16.7,33.3,7,0,0.0,2,2.0,25.7,Matches
Squad Total,,,27.3,28.0,39,0,1,3,1,36.8,0.32,-1.2,-0.04,114,325,35.1,919,175,28.9,31.8,177,33.3,32.8,382,13,3.4,23,0.82,12.9,
Opponent Total,,,27.3,28.0,32,4,2,2,1,30.2,0.26,-0.8,-0.03,122,312,39.1,729,116,32.4,33.5,179,42.5,39.5,365,22,6.0,38,1.36,16.0,
