Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Robin Knoche,de GER,DF,30-301,23.0,36,24,22,10,4,20,36,55.6,16,26,12,14,23,59,104,0,Matches
Rani Khedira,de GER,MF,29-051,22.0,47,24,14,26,7,18,32,56.3,14,24,7,17,30,77,22,0,Matches
Sheraldo Becker,sr SUR,FW,28-038,19.1,9,4,0,5,4,1,5,20.0,4,7,1,6,2,11,3,1,Matches
Frederik Rønnow,dk DEN,GK,30-227,20.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,6,0,Matches
Diogo Leite,pt POR,DF,24-055,19.2,26,14,15,11,0,15,24,62.5,9,19,12,7,21,47,72,0,Matches
Janik Haberer,de GER,MF,28-351,15.9,20,12,6,11,3,13,31,41.9,18,27,1,26,8,28,16,0,Matches
Christopher Trimmel,at AUT,DF,36-023,16.3,26,15,14,10,2,17,26,65.4,9,12,1,11,23,49,40,0,Matches
Danilho Doekhi,nl NED,DF,24-262,14.6,22,15,13,9,0,10,14,71.4,4,17,6,11,19,41,54,0,Matches
Jordan Pefok,us USA,FW,26-327,12.1,15,7,4,3,8,3,14,21.4,11,16,5,11,4,19,12,0,Matches
Niko Gießelmann,de GER,DF,31-174,12.3,17,9,7,8,2,11,23,47.8,12,17,5,12,7,24,21,0,Matches
Julian Ryerson,no NOR,DF,25-122,11.5,28,17,17,10,1,15,23,65.2,8,15,3,12,12,40,19,0,Matches
Kevin Behrens,de GER,FW,32-044,10.3,5,4,3,0,2,2,8,25.0,6,10,2,8,4,9,18,0,Matches
Paul Jaeckel,de GER,DF,24-240,9.9,18,13,7,11,0,13,24,54.2,11,8,3,5,13,31,33,1,Matches
András Schäfer,hu HUN,MF,23-340,8.4,20,8,7,12,1,6,13,46.2,7,11,2,9,4,24,11,0,Matches
Morten Thorsby,no NOR,MF,26-318,6.9,16,8,6,9,1,10,16,62.5,6,9,4,5,2,18,18,0,Matches
Genki Haraguchi,jp JPN,MF,31-314,5.5,12,8,1,10,1,3,8,37.5,5,7,1,6,3,15,9,0,Matches
Timo Baumgartl,de GER,DF,27-015,4.8,9,5,5,2,2,4,13,30.8,9,8,2,6,1,10,11,0,Matches
Aïssa Laïdouni,tn TUN,MF,26-096,4.6,8,3,3,5,0,3,10,30.0,7,12,2,10,5,13,1,0,Matches
Lennart Grill,de GER,GK,24-053,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,1,Matches
Josip Juranović,hr CRO,DF,27-215,4.0,3,2,1,1,1,3,3,100.0,0,4,0,4,1,4,6,0,Matches
Paul Seguin,de GER,MF,27-355,6.0,12,6,7,1,4,6,14,42.9,8,6,0,6,1,13,4,0,Matches
Jérôme Roussillon,fr FRA,DF,30-072,2.9,2,1,1,0,1,1,2,50.0,1,1,0,1,0,2,7,0,Matches
Sven Michel,de GER,FW,32-247,4.6,7,4,1,5,1,4,6,66.7,2,3,1,2,0,7,4,0,Matches
Tymoteusz Puchacz,pl POL,DF,24-055,0.6,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
Miloš Pantović,rs SRB,MF,26-255,2.0,3,1,3,0,0,3,4,75.0,1,2,0,2,0,3,4,0,Matches
Jamie Leweling,de GER,FW,22-021,1.7,3,3,2,1,0,2,3,66.7,1,1,0,1,1,4,0,0,Matches
Tim Skarke,de GER,"DF,MF",26-193,0.6,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
Levin Öztunalı,de GER,MF,27-004,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Squad Total,,,28.5,24.0,366,208,160,160,46,183,357,51.3,174,263,70,193,184,550,496,3,
Opponent Total,,,27.1,24.0,321,189,189,92,40,133,222,59.9,89,267,60,207,189,510,533,9,
