Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
8,Vizela,13,5,2,6,15,14,1,17,1.31,19.8,12.5,7.3,0.56,13,5,3,5,15,14,1,18,1.38,13.5,18.7,-5.2,-0.4
9,Rio Ave,12,7,1,4,14,9,5,22,1.83,12.2,12.0,0.2,0.01,13,2,5,6,11,19,-8,11,0.85,12.2,22.7,-10.5,-0.81
10,Famalicão,12,7,1,4,13,9,4,22,1.83,13.1,13.9,-0.8,-0.06,13,3,2,8,12,23,-11,11,0.85,11.8,18.5,-6.8,-0.52
11,Chaves,12,3,5,4,14,15,-1,14,1.17,16.8,18.4,-1.5,-0.13,13,5,3,5,12,16,-4,18,1.38,14.0,21.8,-7.8,-0.6
12,Boavista,13,5,5,3,16,17,-1,20,1.54,17.2,15.6,1.6,0.12,12,3,1,8,12,23,-11,10,0.83,9.4,18.8,-9.4,-0.78
