Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Luiz Lúcio Reis Júnior,br BRA,GK,22-079,25.0,32,2,0,2,1,30.9,0.23,-0.1,0.0,160,391,40.9,583,116,43.2,36.3,212,65.6,49.0,403,31,7.7,26,1.04,13.3,Matches
Squad Total,,,24.8,25.0,32,2,0,2,1,30.9,0.23,-0.1,0.0,160,391,40.9,583,116,43.2,36.3,212,65.6,49.0,403,31,7.7,26,1.04,13.3,
Opponent Total,,,27.0,25.0,25,1,1,3,1,23.7,0.25,-0.3,-0.01,106,262,40.5,580,111,30.0,31.9,207,42.5,38.8,389,19,4.9,28,1.12,15.2,
