Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Luiz Lúcio Reis Júnior,br BRA,GK,22-082,26,26,2340,26.0,33,1.27,120,86,75.0,10,3,13,9,34.6,5,3,2,0,40.0,Matches
Squad Total,,,24.8,26,26,2340,26.0,33,1.27,120,86,75.0,10,3,13,9,34.6,5,3,2,0,40.0,
Opponent Total,,,27.0,26,26,2340,26.0,25,0.96,85,59,71.8,13,3,10,11,42.3,3,1,2,0,66.7,
