Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gavin Bazunu,ie IRL,GK,20-354,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
James Ward-Prowse,eng ENG,MF,28-100,21,21,1890.0,21.0,5.0,2.0,7.0,5.0,0.0,1.0,2.0,0.0,2.6,1.7,3.9,5.6,13.0,113.0,30.0,0.24,0.1,0.33,0.24,0.33,0.13,0.18,0.31,0.08,0.27,Matches
Mohammed Salisu,gh GHA,DF,23-298,20,20,1799.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.2,1.2,0.5,1.7,5.0,77.0,4.0,0.0,0.05,0.05,0.0,0.05,0.06,0.02,0.08,0.06,0.08,Matches
Che Adams,sct SCO,FW,26-211,20,18,1560.0,17.3,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,4.6,4.6,2.5,7.1,11.0,23.0,79.0,0.23,0.12,0.35,0.23,0.35,0.27,0.14,0.41,0.27,0.41,Matches
Mohamed Elyounoussi,no NOR,"MF,FW",28-189,20,17,1400.0,15.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.5,2.5,1.9,4.5,32.0,32.0,71.0,0.0,0.06,0.06,0.0,0.06,0.16,0.12,0.29,0.16,0.29,Matches
Kyle Walker-Peters,eng ENG,DF,25-302,16,16,1402.0,15.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.9,1.6,55.0,48.0,63.0,0.06,0.0,0.06,0.06,0.06,0.05,0.06,0.11,0.05,0.11,Matches
Romain Perraud,fr FRA,DF,25-140,19,13,1106.0,12.3,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.5,2.4,19.0,37.0,74.0,0.16,0.16,0.33,0.16,0.33,0.08,0.12,0.2,0.08,0.2,Matches
Armel Bella Kotchap,de GER,DF,21-060,13,13,1026.0,11.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.2,0.8,3.0,17.0,2.0,0.0,0.09,0.09,0.0,0.09,0.06,0.02,0.07,0.06,0.07,Matches
Adam Armstrong,eng ENG,FW,25-364,20,12,1027.0,11.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,0.7,2.1,33.0,15.0,53.0,0.09,0.09,0.18,0.09,0.18,0.13,0.06,0.19,0.13,0.19,Matches
Joe Aribo,ng NGA,"MF,FW",26-203,18,11,1082.0,12.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.4,1.4,0.8,2.2,17.0,35.0,57.0,0.17,0.0,0.17,0.17,0.17,0.12,0.07,0.19,0.12,0.19,Matches
Roméo Lavia,be BEL,MF,19-034,12,10,805.0,8.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.2,0.2,0.2,0.4,3.0,33.0,8.0,0.11,0.0,0.11,0.11,0.11,0.02,0.02,0.05,0.02,0.05,Matches
Ibrahima Diallo,fr FRA,MF,23-338,13,10,714.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,5.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,Matches
Stuart Armstrong,sct SCO,"MF,FW",30-316,17,7,765.0,8.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.7,2.8,34.0,48.0,49.0,0.12,0.0,0.12,0.12,0.12,0.13,0.2,0.33,0.13,0.33,Matches
Duje Ćaleta-Car,hr CRO,DF,26-145,10,7,716.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
