Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Gavin Bazunu,ie IRL,GK,20-354,21.0,837,585,822,15,0,0,837,0,0,,0,,499,2623,1549,0,0,0,0,0,402,0,Matches
James Ward-Prowse,eng ENG,MF,28-100,21.0,1384,44,242,737,409,16,1383,10,4,40.0,6,60.0,631,2401,1081,13,15,0,19,15,800,30,Matches
Mohammed Salisu,gh GHA,DF,23-298,20.0,1392,198,701,589,112,17,1392,9,7,77.8,2,22.2,684,3183,1443,5,11,0,4,9,717,4,Matches
Che Adams,sct SCO,FW,26-211,17.3,560,22,52,226,293,83,560,24,11,45.8,11,45.8,308,1253,360,11,8,8,60,16,428,79,Matches
Mohamed Elyounoussi,no NOR,"MF,FW",28-189,15.6,628,34,124,259,250,42,628,21,11,52.4,10,47.6,325,2012,895,32,22,8,26,25,352,71,Matches
Kyle Walker-Peters,eng ENG,DF,25-302,15.6,866,38,225,362,294,27,866,48,19,39.6,21,43.8,443,3108,1630,55,40,10,20,32,464,63,Matches
Romain Perraud,fr FRA,DF,25-140,12.3,693,25,196,249,254,28,693,25,5,20.0,18,72.0,357,1777,734,19,23,5,16,9,377,74,Matches
Armel Bella Kotchap,de GER,DF,21-060,11.4,616,94,323,268,30,18,616,6,2,33.3,1,16.7,327,1773,855,3,6,2,9,5,317,2,Matches
Adam Armstrong,eng ENG,FW,25-364,11.4,367,7,54,140,182,36,367,30,8,26.7,18,60.0,208,1921,825,33,20,9,16,15,221,53,Matches
Joe Aribo,ng NGA,"MF,FW",26-203,12.0,511,11,77,238,208,45,511,38,16,42.1,21,55.3,269,1176,586,17,10,7,31,18,320,57,Matches
Roméo Lavia,be BEL,MF,19-034,8.9,447,15,96,287,69,0,447,15,7,46.7,6,40.0,279,1316,535,3,8,0,6,15,259,8,Matches
Ibrahima Diallo,fr FRA,MF,23-338,7.9,401,13,107,239,64,3,401,11,6,54.5,5,45.5,222,1105,537,5,4,0,15,7,228,6,Matches
Stuart Armstrong,sct SCO,"MF,FW",30-316,8.5,456,9,79,185,199,20,456,20,9,45.0,9,45.0,290,2050,1056,34,26,3,15,14,327,49,Matches
Duje Ćaleta-Car,hr CRO,DF,26-145,8.0,500,93,301,189,12,7,500,0,0,,0,,273,1376,693,2,1,0,1,0,311,0,Matches
Lyanco,br BRA,DF,26-008,7.6,411,45,197,187,35,6,411,7,5,71.4,2,28.6,220,1152,609,5,5,1,10,4,198,1,Matches
