Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Gavin Bazunu,ie IRL,GK,20-354,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,0.71,17.0,38.0,-21.0,-1.0,,20.3,28.2,-7.9,-0.38,,Matches
James Ward-Prowse,eng ENG,MF,28-100,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,0.71,17.0,38.0,-21.0,-1.0,,20.3,28.2,-7.9,-0.38,,Matches
Mohammed Salisu,gh GHA,DF,23-298,20,1799.0,90.0,95.2,20.0,20,90.0,19,0,,1,0.75,16.0,36.0,-20.0,-1.0,-0.01,18.6,25.5,-6.9,-0.34,0.67,Matches
Che Adams,sct SCO,FW,26-211,20,1560.0,78.0,82.5,17.3,18,84.0,12,2,25.0,1,0.75,14.0,30.0,-16.0,-0.92,0.44,17.8,23.9,-6.1,-0.35,0.14,Matches
Mohamed Elyounoussi,no NOR,"MF,FW",28-189,20,1400.0,70.0,74.1,15.6,17,79.0,8,3,19.0,1,0.75,13.0,27.0,-14.0,-0.9,0.39,15.6,19.5,-3.9,-0.25,0.49,Matches
Kyle Walker-Peters,eng ENG,DF,25-302,16,1402.0,88.0,74.2,15.6,16,88.0,13,0,,0,0.88,14.0,26.0,-12.0,-0.77,0.89,14.4,21.0,-6.6,-0.43,-0.19,Matches
Romain Perraud,fr FRA,DF,25-140,19,1106.0,58.0,58.5,12.3,13,77.0,6,6,17.0,0,0.58,7.0,25.0,-18.0,-1.46,-1.12,11.8,18.3,-6.5,-0.52,-0.36,Matches
Armel Bella Kotchap,de GER,DF,21-060,13,1026.0,79.0,54.3,11.4,13,79.0,9,0,,2,0.62,10.0,22.0,-12.0,-1.05,-0.12,11.6,16.6,-5.0,-0.44,-0.14,Matches
Adam Armstrong,eng ENG,FW,25-364,20,1027.0,51.0,54.3,11.4,12,72.0,0,8,20.0,1,0.75,12.0,18.0,-6.0,-0.53,1.04,9.9,15.2,-5.4,-0.47,-0.2,Matches
