Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
18,Everton,21,4,6,11,16,28,-12,18,0.86,22.1,34.4,-12.3,-0.59,D L L L W,39222,"Demarai Gray, Anthony Gordon - 3",Jordan Pickford,
19,Bournemouth,21,4,5,12,19,43,-24,17,0.81,16.4,35.3,-18.9,-0.9,L L L D L,10338,"Philip Billing, Kieffer Moore - 4","Neto, Mark Travers",
20,Southampton,21,4,3,14,17,38,-21,15,0.71,20.3,28.2,-7.9,-0.38,L L W L L,30609,James Ward-Prowse - 5,Gavin Bazunu,
