Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Gavin Bazunu,ie IRL,GK,20-354,21.0,38,0,1,5,3,24.7,0.29,-10.3,-0.49,150,430,34.9,624,101,51.6,38.7,154,70.1,52.1,295,26,8.8,31,1.48,14.4,Matches
Squad Total,,,25.1,21.0,38,0,1,5,3,24.7,0.29,-10.3,-0.49,150,430,34.9,624,101,51.6,38.7,154,70.1,52.1,295,26,8.8,31,1.48,14.4,
Opponent Total,,,27.5,21.0,17,0,2,1,0,18.2,0.23,1.2,0.06,97,256,37.9,569,114,34.1,32.7,138,44.9,39.8,296,21,7.1,28,1.33,15.3,
