Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Gavin Bazunu,ie IRL,GK,20-354,21.0,0,0,0,1,0,0,0,1,0,0,1,0,27,10,0,100.0,Matches
James Ward-Prowse,eng ENG,MF,28-100,21.0,2,0,0,20,9,0,159,27,19,0,0,1,121,34,26,56.7,Matches
Mohammed Salisu,gh GHA,DF,23-298,20.0,5,0,0,23,3,1,13,29,25,0,0,1,141,51,24,68.0,Matches
Che Adams,sct SCO,FW,26-211,17.3,0,0,0,30,17,7,9,4,12,0,0,0,39,50,88,36.2,Matches
Mohamed Elyounoussi,no NOR,"MF,FW",28-189,15.6,3,0,0,24,12,3,24,12,16,0,0,0,96,22,29,43.1,Matches
Kyle Walker-Peters,eng ENG,DF,25-302,15.6,2,0,0,15,25,0,34,12,16,0,0,0,83,13,17,43.3,Matches
Romain Perraud,fr FRA,DF,25-140,12.3,2,0,0,14,8,3,45,14,18,0,0,1,48,8,19,29.6,Matches
Armel Bella Kotchap,de GER,DF,21-060,11.4,1,0,0,6,19,0,4,27,7,0,0,0,81,24,14,63.2,Matches
Adam Armstrong,eng ENG,FW,25-364,11.4,0,0,0,11,7,1,13,3,6,0,0,0,44,3,14,17.6,Matches
Joe Aribo,ng NGA,"MF,FW",26-203,12.0,2,0,0,9,11,0,6,8,19,0,0,0,69,27,34,44.3,Matches
Roméo Lavia,be BEL,MF,19-034,8.9,4,0,0,9,13,0,1,13,11,0,0,0,72,4,3,57.1,Matches
Ibrahima Diallo,fr FRA,MF,23-338,7.9,2,0,0,16,7,0,3,5,10,0,0,0,70,15,7,68.2,Matches
Stuart Armstrong,sct SCO,"MF,FW",30-316,8.5,3,0,0,10,11,1,16,3,8,0,0,0,46,5,5,50.0,Matches
Duje Ćaleta-Car,hr CRO,DF,26-145,8.0,1,0,0,7,1,0,1,13,7,0,0,0,41,10,11,47.6,Matches
Lyanco,br BRA,DF,26-008,7.6,4,0,0,11,6,0,2,12,8,0,0,0,58,17,9,65.4,Matches
Moussa Djenepo,ml MLI,"DF,FW",24-239,6.4,0,0,0,6,15,0,12,11,9,0,0,0,48,3,8,27.3,Matches
Ainsley Maitland-Niles,eng ENG,"MF,DF",25-164,6.0,2,0,0,3,3,0,6,8,9,0,0,0,32,4,6,40.0,Matches
Samuel Edozie,eng ENG,"FW,MF",20-012,5.9,0,0,0,1,22,1,10,6,8,1,0,0,29,6,11,35.3,Matches
Sekou Mara,fr FRA,"FW,MF",20-194,3.6,0,0,0,12,4,3,0,0,6,0,0,0,15,15,22,40.5,Matches
Jan Bednarek,pl POL,DF,26-303,2.8,0,0,0,2,0,0,0,13,3,0,0,0,20,7,6,53.8,Matches
Juan Larios,es ESP,DF,19-028,1.7,0,0,0,1,0,0,4,3,6,0,0,0,9,2,5,28.6,Matches
Theo Walcott,eng ENG,"FW,MF",33-330,1.5,1,0,0,2,0,4,4,1,1,0,0,0,4,1,1,50.0,Matches
James Bree,eng ENG,DF,25-121,1.0,0,0,0,0,0,0,4,2,0,0,0,0,3,2,1,66.7,Matches
Oriol Romeu,es ESP,MF,31-138,0.8,0,0,0,1,2,0,1,1,0,0,0,0,8,2,0,100.0,Matches
Yan Valery,tn TUN,DF,23-352,0.5,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,100.0,Matches
Carlos Alcaraz,ar ARG,MF,20-071,0.6,0,0,0,1,0,0,0,0,1,0,0,0,4,0,1,0.0,Matches
Jack Stephens,eng ENG,DF,29-013,0.5,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,100.0,Matches
Paul Onuachu,ng NGA,FW,28-257,0.5,0,0,0,0,0,1,0,0,0,0,0,0,2,6,7,46.2,Matches
Kamaldeen Sulemana,gh GHA,MF,20-359,0.5,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,Matches
Mislav Oršić,hr CRO,MF,30-042,0.1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,,Matches
Nathan Redmond,eng ENG,DF,28-340,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,25.1,21.0,34,0,0,236,196,26,373,229,228,1,1,3,1216,343,368,48.2,
Opponent Total,,,27.5,21.0,34,0,0,206,225,28,361,174,223,1,1,0,1226,368,343,51.8,
