Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Gavin Bazunu,ie IRL,GK,20-354,21,21,1890,21.0,38,1.81,83,47,54.2,4,3,14,1,4.8,1,0,1,0,100.0,Matches
Squad Total,,,25.1,21,21,1890,21.0,38,1.81,83,47,54.2,4,3,14,1,4.8,1,0,1,0,100.0,
Opponent Total,,,27.5,21,21,1890,21.0,17,0.81,76,58,77.6,14,3,4,8,38.1,1,0,1,0,100.0,
