Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Gavin Bazunu,ie IRL,GK,20-354,21.0,474,782,60.6,14784,11222,105,107,98.1,173,177,97.7,195,493,39.6,0,0.1,0.1,-0.1,1,37,1,0,1,Matches
James Ward-Prowse,eng ENG,MF,28-100,21.0,924,1220,75.7,15897,4763,450,506,88.9,343,432,79.4,100,214,46.7,2,3.9,3.2,-1.9,43,98,17,7,113,Matches
Mohammed Salisu,gh GHA,DF,23-298,20.0,825,1122,73.5,15137,6910,332,380,87.4,406,512,79.3,81,196,41.3,1,0.5,0.4,0.5,5,75,6,4,77,Matches
Che Adams,sct SCO,FW,26-211,17.3,252,380,66.3,3571,820,159,214,74.3,54,85,63.5,22,30,73.3,2,2.5,1.8,-0.5,21,17,10,2,23,Matches
Mohamed Elyounoussi,no NOR,"MF,FW",28-189,15.6,281,422,66.6,4094,1185,177,226,78.3,71,108,65.7,22,45,48.9,1,1.9,1.4,-0.9,14,20,14,6,32,Matches
Kyle Walker-Peters,eng ENG,DF,25-302,15.6,493,679,72.6,7169,2883,299,339,88.2,147,215,68.4,28,65,43.1,0,0.9,1.4,-0.9,10,32,18,6,48,Matches
Romain Perraud,fr FRA,DF,25-140,12.3,372,528,70.5,5276,2066,221,264,83.7,123,165,74.5,17,52,32.7,2,1.5,1.3,0.5,11,28,8,4,37,Matches
Armel Bella Kotchap,de GER,DF,21-060,11.4,344,456,75.4,6762,1885,118,138,85.5,184,214,86.0,39,89,43.8,1,0.2,0.2,0.8,3,18,2,0,17,Matches
Adam Armstrong,eng ENG,FW,25-364,11.4,185,252,73.4,2789,534,100,119,84.0,61,78,78.2,12,19,63.2,1,0.7,0.7,0.3,10,11,9,2,15,Matches
Joe Aribo,ng NGA,"MF,FW",26-203,12.0,256,350,73.1,3209,812,177,225,78.7,55,76,72.4,8,10,80.0,0,0.8,0.4,-0.8,9,19,9,0,35,Matches
Roméo Lavia,be BEL,MF,19-034,8.9,302,348,86.8,5485,1457,128,145,88.3,140,151,92.7,31,38,81.6,0,0.2,0.3,-0.2,4,39,5,0,33,Matches
Ibrahima Diallo,fr FRA,MF,23-338,7.9,249,324,76.9,3755,767,142,164,86.6,86,109,78.9,14,29,48.3,0,0.1,0.1,-0.1,2,18,2,0,21,Matches
Stuart Armstrong,sct SCO,"MF,FW",30-316,8.5,291,366,79.5,4576,1355,156,179,87.2,104,127,81.9,20,29,69.0,0,1.7,2.1,-1.7,12,26,21,5,48,Matches
Duje Ćaleta-Car,hr CRO,DF,26-145,8.0,351,414,84.8,6957,2590,109,122,89.3,197,212,92.9,41,69,59.4,0,0.0,0.1,0.0,1,20,0,0,23,Matches
Lyanco,br BRA,DF,26-008,7.6,237,330,71.8,4344,1580,95,104,91.3,110,147,74.8,22,61,36.1,0,0.1,0.1,-0.1,1,19,1,0,19,Matches
Moussa Djenepo,ml MLI,"DF,FW",24-239,6.4,157,213,73.7,2323,696,90,102,88.2,53,74,71.6,8,19,42.1,1,0.3,0.3,0.7,6,12,5,3,17,Matches
Ainsley Maitland-Niles,eng ENG,"MF,DF",25-164,6.0,215,258,83.3,3478,1097,107,123,87.0,81,92,88.0,21,31,67.7,0,0.4,0.4,-0.4,5,23,5,3,22,Matches
Samuel Edozie,eng ENG,"FW,MF",20-012,5.9,101,149,67.8,1176,324,70,86,81.4,18,30,60.0,4,9,44.4,0,0.3,0.4,-0.3,6,4,6,1,10,Matches
Sekou Mara,fr FRA,"FW,MF",20-194,3.6,40,56,71.4,549,140,23,30,76.7,9,9,100.0,3,5,60.0,1,0.5,0.2,0.5,4,6,2,0,5,Matches
Jan Bednarek,pl POL,DF,26-303,2.8,112,129,86.8,2141,859,42,46,91.3,55,60,91.7,13,20,65.0,0,0.1,0.1,-0.1,2,6,0,0,7,Matches
Juan Larios,es ESP,DF,19-028,1.7,63,82,76.8,881,326,40,46,87.0,21,27,77.8,2,4,50.0,0,0.0,0.0,0.0,0,5,0,0,4,Matches
Theo Walcott,eng ENG,"FW,MF",33-330,1.5,22,31,71.0,273,48,17,19,89.5,5,11,45.5,0,1,0.0,0,0.0,0.0,0.0,2,3,0,0,2,Matches
James Bree,eng ENG,DF,25-121,1.0,34,45,75.6,505,203,21,28,75.0,9,10,90.0,2,4,50.0,0,0.2,0.1,-0.2,3,2,3,2,1,Matches
Oriol Romeu,es ESP,MF,31-138,0.8,28,30,93.3,453,79,10,11,90.9,15,16,93.8,2,2,100.0,0,0.0,0.2,0.0,0,0,2,0,4,Matches
Yan Valery,tn TUN,DF,23-352,0.5,15,23,65.2,213,39,9,10,90.0,4,6,66.7,1,5,20.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Carlos Alcaraz,ar ARG,MF,20-071,0.6,15,23,65.2,165,38,8,13,61.5,5,5,100.0,0,2,0.0,0,0.0,0.0,0.0,1,1,0,0,1,Matches
Jack Stephens,eng ENG,DF,29-013,0.5,23,28,82.1,398,107,9,10,90.0,13,17,76.5,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
Paul Onuachu,ng NGA,FW,28-257,0.5,9,11,81.8,122,43,6,7,85.7,3,3,100.0,0,0,,0,0.1,0.0,-0.1,3,1,0,0,2,Matches
Kamaldeen Sulemana,gh GHA,MF,20-359,0.5,7,15,46.7,104,12,4,7,57.1,1,2,50.0,1,3,33.3,0,0.0,0.0,0.0,1,1,0,0,1,Matches
Mislav Oršić,hr CRO,MF,30-042,0.1,2,3,66.7,16,0,2,2,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Nathan Redmond,eng ENG,DF,28-340,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,25.1,21.0,6679,9070,73.6,116602,44840,3226,3772,85.5,2546,3171,80.3,710,1546,45.9,12,16.6,15.3,-4.6,180,545,146,45,621,
Opponent Total,,,27.5,21.0,8906,11361,78.4,158757,58214,4029,4649,86.7,3724,4407,84.5,934,1689,55.3,31,22.5,20.6,8.5,200,718,194,52,933,
