Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Gavin Bazunu,ie IRL,GK,20-354,21.0,7,0.33,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
James Ward-Prowse,eng ENG,MF,28-100,21.0,69,3.29,33,34,1,1,0,0,5,0.24,2,1,1,1,0,0,Matches
Mohammed Salisu,gh GHA,DF,23-298,20.0,19,0.95,13,4,1,1,0,0,2,0.1,1,1,0,0,0,0,Matches
Che Adams,sct SCO,FW,26-211,17.3,45,2.6,36,1,1,4,3,0,5,0.29,3,0,0,0,2,0,Matches
Mohamed Elyounoussi,no NOR,"MF,FW",28-189,15.6,29,1.86,26,0,0,1,2,0,3,0.19,3,0,0,0,0,0,Matches
Kyle Walker-Peters,eng ENG,DF,25-302,15.6,29,1.86,20,2,3,2,2,0,2,0.13,1,1,0,0,0,0,Matches
Romain Perraud,fr FRA,DF,25-140,12.3,29,2.36,18,1,4,4,1,1,5,0.41,3,0,1,0,1,0,Matches
Armel Bella Kotchap,de GER,DF,21-060,11.4,9,0.79,5,0,1,1,2,0,1,0.09,1,0,0,0,0,0,Matches
Adam Armstrong,eng ENG,FW,25-364,11.4,18,1.58,17,0,0,0,1,0,1,0.09,1,0,0,0,0,0,Matches
Joe Aribo,ng NGA,"MF,FW",26-203,12.0,26,2.16,22,0,1,1,1,1,1,0.08,0,0,1,0,0,0,Matches
Roméo Lavia,be BEL,MF,19-034,8.9,10,1.12,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ibrahima Diallo,fr FRA,MF,23-338,7.9,5,0.63,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Stuart Armstrong,sct SCO,"MF,FW",30-316,8.5,36,4.24,30,0,0,3,3,0,0,0.0,0,0,0,0,0,0,Matches
Duje Ćaleta-Car,hr CRO,DF,26-145,8.0,4,0.5,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lyanco,br BRA,DF,26-008,7.6,6,0.79,4,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Moussa Djenepo,ml MLI,"DF,FW",24-239,6.4,13,2.02,9,0,1,1,2,0,2,0.31,1,0,1,0,0,0,Matches
Ainsley Maitland-Niles,eng ENG,"MF,DF",25-164,6.0,11,1.82,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Samuel Edozie,eng ENG,"FW,MF",20-012,5.9,18,3.06,11,0,3,0,4,0,0,0.0,0,0,0,0,0,0,Matches
Sekou Mara,fr FRA,"FW,MF",20-194,3.6,8,2.2,5,0,2,0,0,1,2,0.55,1,0,1,0,0,0,Matches
Jan Bednarek,pl POL,DF,26-303,2.8,3,1.08,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Juan Larios,es ESP,DF,19-028,1.7,1,0.59,1,0,0,0,0,0,1,0.59,1,0,0,0,0,0,Matches
Theo Walcott,eng ENG,"FW,MF",33-330,1.5,5,3.21,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
James Bree,eng ENG,DF,25-121,1.0,4,4.0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Oriol Romeu,es ESP,MF,31-138,0.8,3,3.65,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Yan Valery,tn TUN,DF,23-352,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Carlos Alcaraz,ar ARG,MF,20-071,0.6,2,3.21,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jack Stephens,eng ENG,DF,29-013,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Paul Onuachu,ng NGA,FW,28-257,0.5,2,4.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kamaldeen Sulemana,gh GHA,MF,20-359,0.5,3,6.0,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Mislav Oršić,hr CRO,MF,30-042,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nathan Redmond,eng ENG,DF,28-340,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.1,21.0,414,19.71,301,46,19,21,23,4,30,1.43,18,3,5,1,3,0,
Opponent Total,,,27.5,21.0,465,22.14,359,34,18,28,16,10,63,3.0,50,5,2,2,3,1,
