Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Max Kilman,eng ENG,DF,25-299,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.1,1.1,22.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
José Sá,pt POR,GK,30-060,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rúben Neves,pt POR,MF,26-005,26,26,2317.0,25.7,5.0,0.0,5.0,3.0,2.0,2.0,9.0,0.0,3.9,2.3,1.0,3.3,21.0,161.0,14.0,0.19,0.0,0.19,0.12,0.12,0.15,0.04,0.19,0.09,0.13,Matches
Matheus Nunes,pt POR,MF,24-203,24,21,1695.0,18.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.9,3.9,43.0,59.0,88.0,0.0,0.05,0.05,0.0,0.05,0.11,0.1,0.21,0.11,0.21,Matches
Nélson Semedo,pt POR,DF,29-122,25,20,1722.0,19.1,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.1,0.1,0.6,0.8,37.0,72.0,98.0,0.0,0.05,0.05,0.0,0.05,0.01,0.03,0.04,0.01,0.04,Matches
João Moutinho,pt POR,MF,36-191,25,19,1641.0,18.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,2.5,3.7,16.0,123.0,28.0,0.0,0.11,0.11,0.0,0.11,0.07,0.14,0.2,0.07,0.2,Matches
Nathan Collins,ie IRL,DF,21-322,19,17,1533.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.1,0.1,9.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches
Daniel Podence,pt POR,"FW,MF",27-148,25,17,1452.0,16.1,5.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,3.1,3.1,1.9,5.1,35.0,82.0,124.0,0.31,0.0,0.31,0.31,0.31,0.19,0.12,0.31,0.19,0.31,Matches
Jonny Castro,es ESP,DF,29-015,17,13,1178.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.4,0.7,24.0,66.0,40.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches
