Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Gregor Kobel,ch SUI,GK,25-103,18.0,19,0,0,2,0,22.3,0.28,3.3,0.18,71,189,37.6,597,80,22.3,29.6,128,43.8,38.7,211,9,4.3,28,1.56,17.5,Matches
Alexander Meyer,de GER,GK,31-340,7.0,12,0,0,2,0,7.9,0.25,-4.1,-0.58,24,60,40.0,278,35,16.2,27.3,44,34.1,35.0,91,8,8.8,18,2.57,19.8,Matches
Squad Total,,,26.4,25.0,31,0,0,4,0,30.2,0.27,-0.8,-0.03,95,249,38.2,875,115,20.3,28.9,172,41.3,37.8,302,17,5.6,46,1.84,18.3,
Opponent Total,,,27.2,25.0,55,2,1,6,2,44.2,0.28,-8.8,-0.35,110,292,37.7,708,104,30.1,31.7,199,39.7,39.3,371,17,4.6,36,1.44,16.6,
