Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Gregor Kobel,ch SUI,GK,25-118,19,19,1710,19.0,23,1.21,91,69,74.7,14,0,5,8,42.1,0,0,0,0,,Matches
Alexander Meyer,de GER,GK,31-355,7,7,630,7.0,12,1.71,32,20,62.5,3,2,2,1,14.3,0,0,0,0,,Matches
Squad Total,,,26.5,26,26,2340,26.0,35,1.35,123,89,71.5,17,2,7,9,34.6,0,0,0,0,,
Opponent Total,,,27.2,26,26,2339,26.0,57,2.19,156,101,65.4,7,2,17,3,11.5,3,3,0,0,0.0,
