Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Iván Márquez,es ESP,DF,28-298,27,2377.0,88.0,97.8,26.4,27,88.0,25,0,,0,1.26,36.0,29.0,7.0,0.27,0.27,36.1,37.8,-1.7,-0.06,1.97,Matches
Jasper Cillessen,nl NED,GK,33-346,26,2340.0,90.0,96.3,26.0,26,90.0,26,0,,0,1.31,37.0,29.0,8.0,0.31,1.31,35.8,38.8,-3.0,-0.12,-0.21,Matches
Bart van Rooij,nl NED,DF,21-312,26,2340.0,90.0,96.3,26.0,26,90.0,26,0,,0,1.19,34.0,30.0,4.0,0.15,-2.85,34.8,38.1,-3.3,-0.13,-0.51,Matches
Souffian El Karouani,ma MAR,DF,22-166,26,2279.0,88.0,93.8,25.3,26,88.0,22,0,,0,1.19,29.0,29.0,0.0,0.0,-4.17,31.4,38.2,-6.8,-0.27,-2.57,Matches
Lasse Schöne,dk DEN,MF,36-311,26,2255.0,87.0,92.8,25.1,26,87.0,22,0,,0,1.27,35.0,27.0,8.0,0.32,0.83,34.0,36.8,-2.7,-0.11,-0.01,Matches
Dirk Proper,nl NED,MF,21-038,26,2223.0,86.0,91.5,24.7,26,86.0,17,0,,1,1.27,32.0,24.0,8.0,0.32,0.76,31.1,35.8,-4.7,-0.19,-0.94,Matches
Elayis Tavsan,nl NED,FW,21-338,26,2067.0,80.0,85.1,23.0,24,83.0,10,2,35.0,1,1.19,29.0,25.0,4.0,0.17,-0.57,29.2,30.7,-1.5,-0.07,0.27,Matches
Oussama Tannane,ma MAR,MF,29-011,21,1815.0,86.0,74.7,20.2,21,86.0,14,0,,0,1.19,29.0,26.0,3.0,0.15,-0.44,27.3,30.4,-3.1,-0.15,-0.18,Matches
Landry Dimata,be BEL,FW,25-214,23,1736.0,75.0,71.4,19.3,20,83.0,9,3,24.0,0,1.3,25.0,19.0,6.0,0.31,0.18,28.6,29.2,-0.6,-0.03,0.26,Matches
Magnus Mattsson,dk DEN,"FW,MF",24-037,18,1291.0,72.0,53.1,14.3,16,79.0,3,2,16.0,2,1.33,23.0,20.0,3.0,0.21,-0.11,21.1,24.9,-3.9,-0.27,-0.34,Matches
