Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Perr Schuurs,nl NED,DF,23-131,2,1,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lorenzo Lucca,it ITA,"FW,DF",22-208,12,0,125.0,1.4,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,0.3,1.8,0.0,2.0,20.0,1.44,0.72,2.16,1.44,2.16,1.02,0.22,1.25,1.02,1.25,Matches
Jorrel Hato,nl NED,DF,17-030,4,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Lisandro Magallán,ar ARG,DF,29-191,2,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches
Kian Fitz-Jim,nl NED,"MF,DF",19-275,2,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34,Matches
Youri Regeer,nl NED,MF,19-231,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Christian Rasmussen,dk DEN,FW,20-077,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.79,7.31,8.1,0.79,8.1,Matches
Olivier Aertssen,nl NED,DF,18-242,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jaydon Amauri Banel,nl NED,FW,18-169,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jay Gorter,nl NED,GK,22-311,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Victor Jensen,dk DEN,MF,23-057,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ahmetcan Kaplan,tr TUR,DF,20-080,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sean Klaiber,sr SUR,"DF,MF",28-249,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kristian Nökkvi Hlynsson,is ISL,MF,19-073,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Maarten Stekelenburg,nl NED,GK,40-196,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Silvano Vos,nl NED,MF,18-021,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.4,27,297,2430.0,27.0,72.0,54.0,126.0,68.0,4.0,4.0,39.0,1.0,61.8,58.6,47.8,106.5,648.0,1896.0,1877.0,2.67,2.0,4.67,2.52,4.52,2.29,1.77,4.06,2.17,3.94,
Opponent Total,,,25.8,27,297,2430.0,27.0,28.0,23.0,51.0,28.0,0.0,0.0,54.0,0.0,22.5,22.5,19.4,41.9,313.0,578.0,568.0,1.04,0.85,1.89,1.04,1.89,0.83,0.72,1.55,0.83,1.55,
