Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Nicolai Rapp,de GER,"MF,DF",26-096,7,0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Felix Agu,de GER,"DF,FW",23-173,3,0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.22,0.07,0.22,Matches
Dikeni Salifou,tg TOG,MF,19-284,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tom Berger,de GER,MF,21-231,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tim-Justin Dietrich,de GER,MF,20-131,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Benjamin Goller,de GER,"FW,MF",24-077,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Eduardo Dos Santos Haesler,de GER,GK,24-037,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jean-Manuel Mbom,de GER,MF,23-023,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nick Woltemade,de GER,FW,21-033,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.9,25,275,2250.0,25.0,38.0,27.0,65.0,33.0,5.0,6.0,48.0,1.0,30.3,25.6,20.3,45.9,301.0,866.0,859.0,1.52,1.08,2.6,1.32,2.4,1.21,0.81,2.03,1.03,1.84,
Opponent Total,,,26.9,25,275,2250.0,25.0,46.0,36.0,82.0,45.0,1.0,2.0,46.0,0.0,40.2,38.6,29.8,68.4,434.0,906.0,890.0,1.84,1.44,3.28,1.8,3.24,1.61,1.19,2.8,1.54,2.74,
