2023-03-17,20:30,Bundesliga,Matchweek 25,Fri,Away,D,2,2,M'Gladbach,1.3,3.4,42.0,54042.0,Niclas Füllkrug,3-5-2,Tobias Reichel,Match Report,
2023-04-02,17:30,Bundesliga,Matchweek 26,Sun,Home,,,,Hoffenheim,,,,,,,,Head-to-Head,
2023-04-08,15:30,Bundesliga,Matchweek 27,Sat,Away,,,,Mainz 05,,,,,,,,Head-to-Head,
2023-04-16,15:30,Bundesliga,Matchweek 28,Sun,Home,,,,Freiburg,,,,,,,,Head-to-Head,
2023-04-22,15:30,Bundesliga,Matchweek 29,Sat,Away,,,,Hertha BSC,,,,,,,,Head-to-Head,
2023-04-29,18:30,Bundesliga,Matchweek 30,Sat,Away,,,,Schalke 04,,,,,,,,Head-to-Head,
2023-05-06,18:30,Bundesliga,Matchweek 31,Sat,Home,,,,Bayern Munich,,,,,,,,Head-to-Head,
2023-05-14,17:30,Bundesliga,Matchweek 32,Sun,Away,,,,RB Leipzig,,,,,,,,Head-to-Head,
2023-05-20,15:30,Bundesliga,Matchweek 33,Sat,Home,,,,Köln,,,,,,,,Head-to-Head,
2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Away,,,,Union Berlin,,,,,,,,Head-to-Head,
