Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-08-06,17:30,Premier League,Matchweek 1,Sat,Away,W,1.0,0.0,Everton,1.5,0.7,62.0,39254.0,César Azpilicueta,3-4-3,Craig Pawson,Match Report,
2022-08-14,16:30,Premier League,Matchweek 2,Sun,Home,D,2.0,2.0,Tottenham,1.6,1.0,63.0,39946.0,Jorginho,3-5-2,Anthony Taylor,Match Report,
2022-08-21,14:00,Premier League,Matchweek 3,Sun,Away,L,0.0,3.0,Leeds United,0.9,2.1,61.0,36372.0,Jorginho,3-5-2,Stuart Attwell,Match Report,
2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,2.0,1.0,Leicester City,1.8,2.5,45.0,39953.0,Jorginho,4-4-2,Paul Tierney,Match Report,
2022-08-30,19:45,Premier League,Matchweek 5,Tue,Away,L,1.0,2.0,Southampton,1.1,1.1,67.0,31542.0,César Azpilicueta,4-2-2-2,Michael Oliver,Match Report,
2022-09-03,15:00,Premier League,Matchweek 6,Sat,Home,W,2.0,1.0,West Ham,0.9,1.1,67.0,39923.0,Thiago Silva,3-1-4-2,Andy Madley,Match Report,
2022-09-06,18:45,Champions Lg,Group stage,Tue,Away,L,0.0,1.0,hr Dinamo Zagreb,0.9,0.6,67.0,20607.0,César Azpilicueta,3-4-3,István Kovács,Match Report,
2022-09-14,20:00,Champions Lg,Group stage,Wed,Home,D,1.0,1.0,at RB Salzburg,1.2,0.4,70.0,38818.0,César Azpilicueta,3-5-2,Ivan Kružliak,Match Report,
2022-10-01,15:00,Premier League,Matchweek 9,Sat,Away,W,2.0,1.0,Crystal Palace,1.1,0.4,64.0,25198.0,Jorginho,4-2-2-2,Chris Kavanagh,Match Report,
2022-10-05,20:00,Champions Lg,Group stage,Wed,Home,W,3.0,0.0,it Milan,1.1,0.4,51.0,39537.0,Thiago Silva,3-4-3,Danny Makkelie,Match Report,
2022-10-08,15:00,Premier League,Matchweek 10,Sat,Home,W,3.0,0.0,Wolves,1.9,1.1,57.0,39940.0,César Azpilicueta,4-2-3-1,Simon Hooper,Match Report,
2022-10-11,21:00,Champions Lg,Group stage,Tue,Away,W,2.0,0.0,it Milan,2.2,0.4,69.0,75051.0,Jorginho,3-4-3,Daniel Siebert,Match Report,
2022-10-16,14:00,Premier League,Matchweek 11,Sun,Away,W,2.0,0.0,Aston Villa,0.9,1.8,58.0,41754.0,Thiago Silva,3-4-3,Robert Jones,Match Report,
