Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Ivor Pandur,hr CRO,GK,22-359,23,23,2070,23.0,36,1.57,118,84,71.2,8,5,10,6,26.1,2,2,0,0,0.0,Matches
Yanick van Osch,nl NED,GK,25-360,3,3,270,3.0,10,3.33,19,9,47.4,0,0,3,0,0.0,0,0,0,0,,Matches
Squad Total,,,27.5,26,26,2340,26.0,46,1.77,137,93,67.9,8,5,13,6,23.1,2,2,0,0,0.0,
Opponent Total,,,26.0,26,26,2340,26.0,32,1.23,102,70,74.5,13,5,8,6,23.1,6,6,0,0,0.0,
