Player,minutes_played,matches_played,matches_started,tackles,tackles_won,defensive_third_tackles,midfield_tackles,attacking_third_tackles,shots_blocked,interceptions,clearances,errors_leading_to_goal,shot_creating_actions,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creation_actions,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,yellow_cards,red_cards,fouls,fouls_drawn,offsides,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,assists,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_box,crosses_into_penalty_area,progressive_passes,touches_penalty_area_defending,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_penalty_area_attacking,attempted_take_ons,successful_take_ons,tackled_take_ons,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,carry_miscontrols,carry_dispossessions,goals,total_shots,shots_on_target,goals_per_shot,average_shot_distance,freekick_shots,penalty_kicks_converted,penalty_kicks_attempted,xG
Fikayo Tomori,2012.0,24,23,57.0,28.0,36.0,20.0,1.0,17.0,24.0,55.0,0.0,16.0,12.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,21.0,1.0,0.0,1.0,0.0,139.0,45.0,26.0,361.0,392.0,591.0,642.0,182.0,243.0,0.0,0.5,5.0,59.0,5.0,0.0,82.0,182.0,747.0,748.0,48.0,11.0,5.0,2.0,1.0,837.0,4443.0,2374.0,18.0,6.0,0.0,9.0,2.0,1.0,7.0,4.0,0.14,15.2,0.0,0.0,0.0,1.2
Theo Hernández,2009.0,23,23,37.0,21.0,23.0,13.0,1.0,6.0,11.0,22.0,1.0,66.0,37.0,15.0,1.0,5.0,7.0,1.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,48.0,0.0,0.0,0.0,1.0,134.0,26.0,13.0,408.0,463.0,368.0,461.0,80.0,149.0,3.0,2.1,30.0,60.0,19.0,7.0,78.0,50.0,343.0,679.0,382.0,50.0,51.0,15.0,24.0,738.0,5366.0,3078.0,77.0,51.0,14.0,34.0,12.0,3.0,41.0,8.0,0.05,23.2,4.0,1.0,1.0,3.6
Pierre Kalulu,2120.0,27,22,48.0,33.0,27.0,18.0,3.0,15.0,35.0,46.0,1.0,27.0,23.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,19.0,18.0,1.0,0.0,1.0,0.0,144.0,25.0,24.0,495.0,539.0,659.0,715.0,110.0,172.0,0.0,1.1,9.0,92.0,8.0,4.0,112.0,103.0,759.0,820.0,125.0,15.0,10.0,5.0,3.0,1004.0,5827.0,3179.0,40.0,18.0,0.0,18.0,3.0,1.0,10.0,2.0,0.1,9.8,0.0,0.0,0.0,1.4
Sandro Tonali,1929.0,24,21,42.0,27.0,23.0,15.0,4.0,6.0,21.0,15.0,1.0,66.0,39.0,15.0,2.0,6.0,2.0,2.0,7.0,4.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,24.0,24.0,3.0,0.0,0.0,0.0,136.0,10.0,14.0,294.0,352.0,298.0,363.0,90.0,188.0,4.0,2.6,37.0,80.0,19.0,4.0,95.0,33.0,241.0,624.0,296.0,21.0,15.0,6.0,6.0,560.0,3571.0,1795.0,43.0,24.0,1.0,30.0,7.0,2.0,24.0,11.0,0.08,21.8,5.0,0.0,0.0,2.0
Rafael Leão,1840.0,25,21,4.0,3.0,1.0,2.0,1.0,1.0,11.0,7.0,0.0,86.0,56.0,1.0,16.0,6.0,7.0,0.0,10.0,8.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,14.0,23.0,9.0,0.0,0.0,0.0,64.0,25.0,25.0,197.0,255.0,153.0,203.0,51.0,76.0,6.0,4.2,36.0,49.0,40.0,10.0,84.0,9.0,46.0,350.0,454.0,110.0,116.0,56.0,49.0,561.0,5432.0,2717.0,96.0,70.0,51.0,47.0,31.0,8.0,74.0,21.0,0.11,18.8,0.0,0.0,0.0,7.5
Ismaël Bennacer,1625.0,22,19,51.0,29.0,22.0,27.0,2.0,7.0,21.0,14.0,1.0,79.0,53.0,17.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,33.0,22.0,1.0,0.0,0.0,0.0,159.0,20.0,19.0,447.0,481.0,398.0,438.0,136.0,202.0,2.0,2.8,40.0,105.0,22.0,4.0,115.0,28.0,267.0,860.0,269.0,7.0,43.0,23.0,11.0,796.0,4304.0,1718.0,24.0,24.0,4.0,30.0,17.0,1.0,11.0,2.0,0.09,26.1,3.0,0.0,0.0,0.5
Olivier Giroud,1577.0,24,19,7.0,5.0,2.0,3.0,2.0,3.0,2.0,16.0,0.0,39.0,31.0,0.0,0.0,6.0,2.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,30.0,17.0,13.0,0.0,0.0,0.0,34.0,79.0,48.0,159.0,245.0,63.0,94.0,6.0,12.0,4.0,1.6,20.0,11.0,5.0,0.0,30.0,22.0,48.0,268.0,294.0,122.0,11.0,5.0,5.0,258.0,712.0,268.0,10.0,8.0,7.0,50.0,11.0,8.0,63.0,22.0,0.11,12.3,3.0,1.0,1.0,8.9
Brahim Díaz,1308.0,23,19,21.0,9.0,3.0,15.0,3.0,0.0,5.0,4.0,0.0,62.0,45.0,1.0,7.0,5.0,3.0,1.0,9.0,4.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,21.0,31.0,2.0,0.0,0.0,0.0,75.0,2.0,13.0,219.0,251.0,136.0,161.0,21.0,37.0,3.0,1.8,29.0,56.0,30.0,1.0,89.0,3.0,44.0,384.0,264.0,40.0,52.0,25.0,23.0,459.0,3110.0,1720.0,58.0,44.0,12.0,48.0,41.0,4.0,24.0,10.0,0.17,15.3,1.0,0.0,0.0,3.3
Ciprian Tătărușanu,1440.0,16,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,60.0,60.0,198.0,204.0,174.0,290.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,509.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,1963.0,1284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Junior Messias,1103.0,18,14,19.0,15.0,7.0,8.0,4.0,3.0,6.0,21.0,0.0,35.0,22.0,0.0,4.0,4.0,4.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,20.0,20.0,1.0,0.0,0.0,0.0,54.0,21.0,29.0,165.0,196.0,116.0,146.0,20.0,40.0,2.0,0.8,9.0,26.0,3.0,1.0,38.0,22.0,93.0,247.0,228.0,39.0,42.0,20.0,13.0,325.0,2116.0,1109.0,31.0,29.0,11.0,21.0,9.0,4.0,24.0,9.0,0.17,17.7,0.0,0.0,0.0,2.0
Davide Calabria,1015.0,15,13,50.0,26.0,23.0,21.0,6.0,4.0,18.0,20.0,0.0,18.0,16.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,10.0,10.0,1.0,1.0,1.0,0.0,70.0,5.0,8.0,256.0,274.0,269.0,311.0,61.0,133.0,2.0,1.0,9.0,37.0,12.0,8.0,56.0,42.0,273.0,436.0,177.0,9.0,10.0,2.0,5.0,437.0,1941.0,1153.0,15.0,16.0,1.0,6.0,3.0,1.0,7.0,1.0,0.14,21.1,0.0,0.0,0.0,0.9
