Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Marco Silvestri,it ITA,GK,32-017,27,27,2430,27.0,31,1.15,94,65,71.3,9,11,7,8,29.6,4,4,0,0,0.0,Matches
Squad Total,,,26.7,27,27,2430,27.0,31,1.15,94,65,71.3,9,11,7,8,29.6,4,4,0,0,0.0,
Opponent Total,,,27.3,27,27,2430,27.0,37,1.37,106,70,65.1,7,11,9,6,22.2,0,0,0,0,,
