Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Alisson,br BRA,GK,30-130,20,20,1800,20.0,28,1.4,93,66,72.0,8,5,7,5,25.0,3,2,1,0,33.3,Matches
Squad Total,,,28.2,20,20,1800,20.0,28,1.4,93,66,72.0,8,5,7,5,25.0,3,2,1,0,33.3,
Opponent Total,,,27.0,20,20,1800,20.0,34,1.7,113,83,69.9,7,5,8,5,25.0,0,0,0,0,,
