Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alisson,br BRA,GK,30-130,20,20,1800.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.01,0.01,0.0,0.01,Matches
Mohamed Salah,eg EGY,FW,30-239,20,20,1776.0,19.7,7.0,4.0,11.0,7.0,0.0,0.0,0.0,0.0,9.2,9.2,3.7,12.9,51.0,66.0,206.0,0.35,0.2,0.56,0.35,0.56,0.46,0.19,0.65,0.46,0.65,Matches
Virgil van Dijk,nl NED,DF,31-216,17,17,1485.0,16.5,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.1,1.1,0.2,1.2,8.0,72.0,4.0,0.12,0.0,0.12,0.12,0.12,0.06,0.01,0.07,0.06,0.07,Matches
Trent Alexander-Arnold,eng ENG,DF,24-125,20,17,1441.0,16.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,4.3,5.8,24.0,116.0,85.0,0.06,0.06,0.12,0.06,0.12,0.09,0.27,0.36,0.09,0.36,Matches
Andrew Robertson,sct SCO,DF,28-335,18,15,1322.0,14.7,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.4,4.4,36.0,76.0,120.0,0.0,0.34,0.34,0.0,0.34,0.07,0.23,0.3,0.07,0.3,Matches
Fabinho,br BRA,MF,29-109,18,14,1253.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,0.9,7.0,78.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches
Thiago Alcántara,es ESP,MF,31-304,14,14,1154.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.1,1.5,12.0,107.0,22.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.12,0.03,0.12,Matches
Harvey Elliott,eng ENG,"MF,FW",19-311,20,13,1131.0,12.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,2.3,3.4,40.0,88.0,92.0,0.08,0.08,0.16,0.08,0.16,0.09,0.19,0.27,0.09,0.27,Matches
Joe Gomez,eng ENG,DF,25-262,17,11,1106.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.2,0.3,10.0,83.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Darwin Núñez,uy URU,FW,23-230,15,11,989.0,11.0,5.0,2.0,7.0,5.0,0.0,0.0,1.0,1.0,8.1,8.1,3.5,11.5,37.0,17.0,95.0,0.46,0.18,0.64,0.46,0.64,0.73,0.32,1.05,0.73,1.05,Matches
Roberto Firmino,br BRA,"FW,MF",31-130,13,11,929.0,10.3,7.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,4.2,4.2,1.8,6.0,12.0,60.0,72.0,0.68,0.29,0.97,0.68,0.97,0.41,0.17,0.58,0.41,0.58,Matches
Jordan Henderson,eng ENG,MF,32-237,17,10,919.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.7,20.0,83.0,25.0,0.0,0.0,0.0,0.0,0.0,0.06,0.11,0.17,0.06,0.17,Matches
