Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Alisson,br BRA,GK,30-130,20.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,12,0,Matches
Mohamed Salah,eg EGY,FW,30-239,19.7,11,8,2,3,6,6,13,46.2,7,11,0,11,4,15,3,0,Matches
Virgil van Dijk,nl NED,DF,31-216,16.5,10,3,7,3,0,2,4,50.0,2,15,8,7,19,29,70,1,Matches
Trent Alexander-Arnold,eng ENG,DF,24-125,16.0,23,17,15,5,3,16,30,53.3,14,12,4,8,22,45,18,0,Matches
Andrew Robertson,sct SCO,DF,28-335,14.7,16,10,6,7,3,6,16,37.5,10,15,4,11,11,27,25,1,Matches
Fabinho,br BRA,MF,29-109,13.9,33,16,12,17,4,12,30,40.0,18,19,5,14,19,52,20,0,Matches
Thiago Alcántara,es ESP,MF,31-304,12.8,41,23,18,21,2,13,19,68.4,6,14,3,11,18,59,12,2,Matches
Harvey Elliott,eng ENG,"MF,FW",19-311,12.6,13,7,4,4,5,4,19,21.1,15,20,1,19,6,19,6,0,Matches
Joe Gomez,eng ENG,DF,25-262,12.3,23,17,12,9,2,10,16,62.5,6,14,10,4,19,42,39,2,Matches
Darwin Núñez,uy URU,FW,23-230,11.0,6,3,2,3,1,3,5,60.0,2,9,0,9,2,8,8,0,Matches
Roberto Firmino,br BRA,"FW,MF",31-130,10.3,13,11,1,10,2,1,9,11.1,8,11,1,10,6,19,2,0,Matches
Jordan Henderson,eng ENG,MF,32-237,10.2,13,8,4,7,2,4,9,44.4,5,8,3,5,10,23,6,0,Matches
Joël Matip,cm CMR,DF,31-185,7.1,11,5,9,2,0,8,13,61.5,5,4,1,3,10,21,30,2,Matches
Luis Díaz,co COL,FW,26-027,6.8,10,8,2,7,1,3,7,42.9,4,6,0,6,2,12,0,0,Matches
James Milner,eng ENG,"DF,MF",37-036,6.1,10,4,3,4,3,4,17,23.5,13,11,2,9,10,20,9,0,Matches
Kostas Tsimikas,gr GRE,DF,26-273,5.0,9,5,7,2,0,7,10,70.0,3,6,1,5,5,14,9,0,Matches
Ibrahima Konaté,fr FRA,DF,23-260,4.2,12,7,9,3,0,4,8,50.0,4,2,1,1,9,21,21,1,Matches
Fabio Carvalho,pt POR,"MF,FW",20-163,3.7,8,8,3,3,2,3,6,50.0,3,6,0,6,5,13,0,0,Matches
Alex Oxlade-Chamberlain,eng ENG,"FW,MF",29-178,3.5,5,4,1,2,2,1,3,33.3,2,4,1,3,1,6,4,0,Matches
Cody Gakpo,nl NED,FW,23-278,2.8,2,2,0,1,1,1,1,100.0,0,2,1,1,2,4,0,0,Matches
Naby Keïta,gn GUI,MF,27-364,2.7,2,2,1,1,0,1,3,33.3,2,1,0,1,1,3,1,0,Matches
Diogo Jota,pt POR,"FW,MF",26-067,2.2,10,7,7,3,0,5,6,83.3,1,2,0,2,2,12,1,0,Matches
Stefan Bajcetic,es ESP,MF,18-110,2.2,3,2,0,2,1,2,7,28.6,5,3,0,3,4,7,2,0,Matches
Curtis Jones,eng ENG,"MF,FW",22-010,2.1,4,2,1,1,2,2,4,50.0,2,1,0,1,1,5,1,0,Matches
Nathaniel Phillips,eng ENG,DF,25-325,0.7,2,1,0,2,0,2,2,100.0,0,0,0,0,2,4,1,0,Matches
Ben Doak,sct SCO,FW,17-090,0.3,3,2,1,2,0,1,1,100.0,0,1,0,1,0,3,0,0,Matches
Bobby Clark,eng ENG,MF,18-002,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
Squad Total,,,28.2,20.0,293,182,127,124,42,121,258,46.9,137,201,46,155,190,483,300,9,
Opponent Total,,,27.0,20.0,374,200,201,134,39,143,280,51.1,137,281,90,191,210,584,561,9,
