Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Alisson,br BRA,GK,30-130,20,1800.0,90.0,100.0,20.0,20,90.0,20,0,,0,1.45,34.0,28.0,6.0,0.3,,35.4,29.2,6.2,0.31,,Matches
Mohamed Salah,eg EGY,FW,30-239,20,1776.0,89.0,98.7,19.7,20,89.0,17,0,,0,1.45,34.0,27.0,7.0,0.35,4.1,34.5,28.1,6.4,0.32,1.04,Matches
Virgil van Dijk,nl NED,DF,31-216,17,1485.0,87.0,82.5,16.5,17,87.0,16,0,,0,1.65,33.0,21.0,12.0,0.73,2.44,30.4,23.1,7.2,0.44,0.73,Matches
Trent Alexander-Arnold,eng ENG,DF,24-125,20,1441.0,72.0,80.1,16.0,17,82.0,9,3,16.0,0,1.45,29.0,25.0,4.0,0.25,-0.25,28.4,23.1,5.3,0.33,0.1,Matches
Andrew Robertson,sct SCO,DF,28-335,18,1322.0,73.0,73.4,14.7,15,82.0,8,3,29.0,0,1.56,25.0,20.0,5.0,0.34,0.15,26.9,20.5,6.4,0.44,0.47,Matches
Fabinho,br BRA,MF,29-109,18,1253.0,70.0,69.6,13.9,14,83.0,10,4,24.0,0,1.44,26.0,17.0,9.0,0.65,1.14,23.9,18.5,5.4,0.39,0.27,Matches
Thiago Alcántara,es ESP,MF,31-304,14,1154.0,82.0,64.1,12.8,14,82.0,9,0,,0,1.5,18.0,22.0,-4.0,-0.31,-1.71,20.4,19.6,0.8,0.06,-0.68,Matches
Harvey Elliott,eng ENG,"MF,FW",19-311,20,1131.0,57.0,62.8,12.6,13,73.0,3,7,25.0,0,1.45,21.0,14.0,7.0,0.56,0.69,21.6,18.2,3.4,0.27,-0.11,Matches
Joe Gomez,eng ENG,DF,25-262,17,1106.0,65.0,61.4,12.3,11,90.0,11,6,19.0,3,1.59,20.0,12.0,8.0,0.65,0.91,21.9,18.3,3.6,0.3,-0.03,Matches
Darwin Núñez,uy URU,FW,23-230,15,989.0,66.0,54.9,11.0,11,82.0,5,4,22.0,0,1.53,18.0,17.0,1.0,0.09,-0.46,21.1,17.4,3.7,0.34,0.06,Matches
Roberto Firmino,br BRA,"FW,MF",31-130,13,929.0,71.0,51.6,10.3,11,76.0,3,2,47.0,0,1.62,21.0,13.0,8.0,0.78,0.98,16.7,14.4,2.3,0.22,-0.18,Matches
Jordan Henderson,eng ENG,MF,32-237,17,919.0,54.0,51.1,10.2,10,76.0,4,7,23.0,0,1.47,20.0,16.0,4.0,0.39,0.19,19.3,15.6,3.7,0.36,0.11,Matches
Joël Matip,cm CMR,DF,31-185,9,642.0,71.0,35.7,7.1,7,84.0,5,2,28.0,2,1.0,13.0,15.0,-2.0,-0.28,-0.9,13.0,10.8,2.2,0.31,0.01,Matches
Luis Díaz,co COL,FW,26-027,8,613.0,77.0,34.1,6.8,7,81.0,5,1,45.0,0,1.25,17.0,8.0,9.0,1.32,1.55,12.4,7.8,4.6,0.67,0.55,Matches
James Milner,eng ENG,"DF,MF",37-036,14,546.0,39.0,30.3,6.1,5,71.0,1,9,21.0,2,1.43,8.0,7.0,1.0,0.16,-0.19,11.4,9.4,2.0,0.33,0.03,Matches
Kostas Tsimikas,gr GRE,DF,26-273,13,446.0,34.0,24.8,5.0,5,66.0,1,8,15.0,6,1.62,8.0,7.0,1.0,0.2,-0.13,8.3,8.1,0.2,0.03,-0.37,Matches
Ibrahima Konaté,fr FRA,DF,23-260,5,382.0,76.0,21.2,4.2,4,90.0,4,1,22.0,2,0.8,3.0,8.0,-5.0,-1.18,-1.88,5.7,7.3,-1.6,-0.38,-0.88,Matches
Fabio Carvalho,pt POR,"MF,FW",20-163,11,337.0,31.0,18.7,3.7,4,52.0,0,7,19.0,8,1.73,10.0,3.0,7.0,1.87,1.93,7.1,4.8,2.3,0.62,0.38,Matches
Alex Oxlade-Chamberlain,eng ENG,"FW,MF",29-178,8,314.0,39.0,17.4,3.5,4,69.0,0,4,10.0,3,1.5,5.0,6.0,-1.0,-0.29,-0.71,7.0,5.7,1.3,0.38,0.08,Matches
Cody Gakpo,nl NED,FW,23-278,3,255.0,85.0,14.2,2.8,3,85.0,1,0,,0,0.33,0.0,6.0,-6.0,-2.12,-2.82,4.1,5.0,-0.9,-0.33,-0.75,Matches
Naby Keïta,gn GUI,MF,27-364,6,247.0,41.0,13.7,2.7,2,63.0,0,4,30.0,1,1.17,2.0,4.0,-2.0,-0.73,-1.19,4.5,3.2,1.2,0.45,0.16,Matches
Diogo Jota,pt POR,"FW,MF",26-067,4,196.0,49.0,10.9,2.2,2,85.0,0,2,14.0,0,1.25,3.0,4.0,-1.0,-0.46,-0.85,4.1,4.1,0.0,0.01,-0.33,Matches
Stefan Bajcetic,es ESP,MF,18-110,5,194.0,39.0,10.8,2.2,2,78.0,0,3,13.0,10,2.0,3.0,3.0,0.0,0.0,-0.34,4.3,3.1,1.2,0.56,0.28,Matches
Curtis Jones,eng ENG,"MF,FW",22-010,6,189.0,32.0,10.5,2.1,1,90.0,1,5,20.0,4,1.17,0.0,3.0,-3.0,-1.43,-1.93,3.9,3.7,0.2,0.11,-0.23,Matches
Nathaniel Phillips,eng ENG,DF,25-325,2,66.0,33.0,3.7,0.7,1,62.0,0,1,4.0,13,2.0,1.0,1.0,0.0,0.0,-0.31,2.0,0.5,1.5,2.06,1.82,Matches
Ben Doak,sct SCO,FW,17-090,2,26.0,13.0,1.4,0.3,0,,0,2,13.0,2,1.5,0.0,1.0,-1.0,-3.46,-3.82,0.1,0.8,-0.6,-2.17,-2.52,Matches
Bobby Clark,eng ENG,MF,18-002,1,8.0,8.0,0.4,0.1,0,,0,1,8.0,5,3.0,1.0,0.0,1.0,11.25,11.0,0.3,0.0,0.3,3.13,2.83,Matches
Adrián,es ESP,GK,36-037,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
Luke Chambers,eng ENG,DF,18-230,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Harvey Davies,eng ENG,GK,19-159,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Sepp van den Berg,nl NED,"DF,MF",21-051,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Caoimhín Kelleher,ie IRL,GK,24-078,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
Arthur Melo,br BRA,MF,26-181,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Calvin Ramsay,sct SCO,DF,19-193,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,28.2,20,1800.0,90.0,100.0,20.0,220,82.0,133,86,21.0,94,1.45,34.0,28.0,6.0,0.3,,35.4,29.2,6.2,0.31,,
Opponent Total,,,27.0,20,1800.0,90.0,100.0,20.0,220,82.0,133,86,21.0,108,1.3,28.0,34.0,-6.0,-0.3,,29.2,35.4,-6.2,-0.31,,
