Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Alisson,br BRA,GK,30-130,20.0,636,742,85.7,14932,9670,156,156,100.0,324,331,97.9,152,248,61.3,1,0.3,0.0,0.7,1,9,0,0,1,Matches
Mohamed Salah,eg EGY,FW,30-239,19.7,404,537,75.2,5229,1527,258,310,83.2,103,138,74.6,15,26,57.7,4,3.7,3.1,0.3,38,23,39,3,66,Matches
Virgil van Dijk,nl NED,DF,31-216,16.5,1180,1325,89.1,23395,8327,397,427,93.0,644,695,92.7,128,181,70.7,0,0.2,0.5,-0.2,2,91,2,0,72,Matches
Trent Alexander-Arnold,eng ENG,DF,24-125,16.0,1039,1422,73.1,19780,8294,487,547,89.0,380,497,76.5,159,330,48.2,1,4.3,4.0,-3.3,36,112,49,17,116,Matches
Andrew Robertson,sct SCO,DF,28-335,14.7,875,1110,78.8,14981,4652,417,468,89.1,372,444,83.8,71,145,49.0,5,3.4,3.4,1.6,30,50,20,10,76,Matches
Fabinho,br BRA,MF,29-109,13.9,790,897,88.1,12874,3093,396,424,93.4,305,332,91.9,66,96,68.8,0,0.6,0.5,-0.6,6,58,7,0,78,Matches
Thiago Alcántara,es ESP,MF,31-304,12.8,842,980,85.9,15197,4456,393,424,92.7,299,340,87.9,121,153,79.1,0,1.1,1.2,-1.1,17,95,19,0,107,Matches
Harvey Elliott,eng ENG,"MF,FW",19-311,12.6,546,686,79.6,8030,1998,312,349,89.4,187,236,79.2,26,52,50.0,1,2.3,2.8,-1.3,16,51,28,5,88,Matches
Joe Gomez,eng ENG,DF,25-262,12.3,869,1029,84.5,17498,5673,248,284,87.3,513,560,91.6,95,154,61.7,0,0.2,0.2,-0.2,1,97,2,0,83,Matches
Darwin Núñez,uy URU,FW,23-230,11.0,135,210,64.3,1940,401,65,95,68.4,43,64,67.2,9,12,75.0,2,3.5,1.8,-1.5,18,6,6,1,17,Matches
Roberto Firmino,br BRA,"FW,MF",31-130,10.3,342,439,77.9,4657,1482,208,242,86.0,98,124,79.0,16,24,66.7,3,1.8,1.8,1.2,17,38,14,0,60,Matches
Jordan Henderson,eng ENG,MF,32-237,10.2,619,759,81.6,10582,2830,305,336,90.8,233,279,83.5,61,100,61.0,0,1.1,1.5,-1.1,13,77,20,3,83,Matches
Joël Matip,cm CMR,DF,31-185,7.1,407,481,84.6,7539,2518,150,174,86.2,218,238,91.6,34,55,61.8,0,0.1,0.2,-0.1,2,29,5,0,30,Matches
Luis Díaz,co COL,FW,26-027,6.8,203,256,79.3,3051,597,124,150,82.7,63,75,84.0,12,14,85.7,2,1.0,0.8,1.0,6,18,5,1,25,Matches
James Milner,eng ENG,"DF,MF",37-036,6.1,311,420,74.0,5740,2123,140,156,89.7,128,154,83.1,36,82,43.9,1,0.7,1.4,0.3,9,35,11,4,40,Matches
Kostas Tsimikas,gr GRE,DF,26-273,5.0,276,360,76.7,4761,1235,132,152,86.8,102,123,82.9,34,65,52.3,3,0.8,0.8,2.2,13,11,6,3,18,Matches
Ibrahima Konaté,fr FRA,DF,23-260,4.2,231,269,85.9,4039,1693,91,103,88.3,124,139,89.2,13,21,61.9,0,0.0,0.2,0.0,0,10,1,0,12,Matches
Fabio Carvalho,pt POR,"MF,FW",20-163,3.7,111,135,82.2,1490,264,68,79,86.1,29,35,82.9,5,6,83.3,0,0.1,0.2,-0.1,1,6,2,0,11,Matches
Alex Oxlade-Chamberlain,eng ENG,"FW,MF",29-178,3.5,73,99,73.7,1206,331,38,42,90.5,24,33,72.7,7,13,53.8,0,0.9,0.2,-0.9,5,8,2,0,12,Matches
Cody Gakpo,nl NED,FW,23-278,2.8,27,44,61.4,362,104,15,22,68.2,9,16,56.3,1,2,50.0,0,0.1,0.1,-0.1,2,2,1,0,6,Matches
