Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Alisson,br BRA,GK,30-130,20.0,791,612,769,22,0,0,791,0,0,,0,,491,2427,1494,0,0,0,0,0,432,0,Matches
Mohamed Salah,eg EGY,FW,30-239,19.7,778,3,46,228,510,148,778,64,21,32.8,38,59.4,517,3051,1374,51,24,40,62,48,612,206,Matches
Virgil van Dijk,nl NED,DF,31-216,16.5,1477,196,687,725,69,35,1477,1,1,100.0,0,0.0,894,3632,1865,8,9,2,6,0,1062,4,Matches
Trent Alexander-Arnold,eng ENG,DF,24-125,16.0,1560,49,359,780,428,27,1560,11,7,63.6,3,27.3,838,3137,1636,24,17,5,19,13,978,85,Matches
Andrew Robertson,sct SCO,DF,28-335,14.7,1221,42,360,484,384,39,1221,22,8,36.4,13,59.1,627,3236,1790,36,31,6,18,7,783,120,Matches
Fabinho,br BRA,MF,29-109,13.9,1032,43,227,646,159,9,1032,3,1,33.3,2,66.7,563,2366,989,7,16,0,12,6,715,17,Matches
Thiago Alcántara,es ESP,MF,31-304,12.8,1122,41,257,702,168,7,1122,28,19,67.9,4,14.3,634,3315,1541,12,18,0,11,18,802,22,Matches
Harvey Elliott,eng ENG,"MF,FW",19-311,12.6,806,8,99,361,353,34,806,34,15,44.1,12,35.3,519,2757,1379,40,34,8,19,15,600,92,Matches
Joe Gomez,eng ENG,DF,25-262,12.3,1153,83,451,658,51,4,1153,5,4,80.0,1,20.0,749,3507,2004,10,10,0,10,2,765,2,Matches
Darwin Núñez,uy URU,FW,23-230,11.0,363,7,26,102,239,101,363,16,5,31.3,8,50.0,207,1433,792,37,15,21,26,13,273,95,Matches
Roberto Firmino,br BRA,"FW,MF",31-130,10.3,568,3,55,289,225,69,568,15,7,46.7,7,46.7,320,1303,526,12,7,6,26,19,434,72,Matches
Jordan Henderson,eng ENG,MF,32-237,10.2,825,18,139,498,194,17,825,7,2,28.6,3,42.9,474,2398,1049,20,17,1,7,5,622,25,Matches
Joël Matip,cm CMR,DF,31-185,7.1,554,71,283,247,30,4,554,6,3,50.0,3,50.0,334,2236,1584,18,15,1,6,1,379,1,Matches
Luis Díaz,co COL,FW,26-027,6.8,338,3,23,147,172,45,338,29,14,48.3,11,37.9,244,1586,624,21,14,12,14,24,284,72,Matches
James Milner,eng ENG,"DF,MF",37-036,6.1,496,15,114,218,165,20,496,16,8,50.0,6,37.5,252,1127,553,12,10,4,13,9,310,52,Matches
Kostas Tsimikas,gr GRE,DF,26-273,5.0,420,17,92,142,188,19,420,9,2,22.2,6,66.7,207,1238,651,18,8,4,10,4,245,60,Matches
Ibrahima Konaté,fr FRA,DF,23-260,4.2,328,35,181,138,11,5,328,2,1,50.0,0,0.0,184,900,465,3,2,0,4,0,203,2,Matches
Fabio Carvalho,pt POR,"MF,FW",20-163,3.7,183,2,31,69,86,26,183,5,2,40.0,2,40.0,115,517,212,7,8,2,10,15,136,24,Matches
Alex Oxlade-Chamberlain,eng ENG,"FW,MF",29-178,3.5,145,3,17,67,64,15,145,13,4,30.8,8,61.5,84,590,234,11,7,3,12,10,104,24,Matches
Cody Gakpo,nl NED,FW,23-278,2.8,75,1,5,23,48,15,75,6,3,50.0,1,16.7,42,190,111,4,2,2,3,7,55,17,Matches
Naby Keïta,gn GUI,MF,27-364,2.7,177,3,22,100,55,11,177,3,2,66.7,0,0.0,95,435,200,4,6,0,11,4,121,20,Matches
Diogo Jota,pt POR,"FW,MF",26-067,2.2,100,7,21,45,37,11,100,8,2,25.0,5,62.5,52,399,196,8,5,4,7,4,60,18,Matches
Stefan Bajcetic,es ESP,MF,18-110,2.2,132,3,22,81,30,2,132,8,3,37.5,2,25.0,68,351,167,3,1,0,2,2,81,0,Matches
Curtis Jones,eng ENG,"MF,FW",22-010,2.1,169,3,26,81,63,10,169,6,3,50.0,3,50.0,115,580,223,6,3,3,4,6,134,16,Matches
Nathaniel Phillips,eng ENG,DF,25-325,0.7,89,3,26,63,2,1,89,0,0,,0,,69,574,393,0,1,0,2,0,60,0,Matches
Ben Doak,sct SCO,FW,17-090,0.3,22,0,4,10,10,2,22,4,0,0.0,4,100.0,16,182,51,1,3,2,1,0,15,4,Matches
Bobby Clark,eng ENG,MF,18-002,0.1,7,0,0,0,7,1,7,1,0,0.0,1,100.0,3,3,0,0,0,0,2,0,3,2,Matches
Squad Total,,,28.2,20.0,14931,1271,4342,6926,3748,677,14931,322,137,42.5,143,44.4,8713,43470,22103,373,283,126,317,232,10268,1052,
Opponent Total,,,27.0,20.0,11308,1674,4628,4492,2299,397,11305,296,137,46.3,121,40.9,5559,27929,13930,269,194,84,326,172,6512,640,
