Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Alisson,br BRA,GK,30-130,20.0,28,2,0,0,2,33.8,0.34,7.8,0.39,60,140,42.9,635,126,18.4,26.8,105,21.9,29.7,217,8,3.7,40,2.0,20.0,Matches
Squad Total,,,28.2,20.0,28,2,0,0,2,33.8,0.34,7.8,0.39,60,140,42.9,635,126,18.4,26.8,105,21.9,29.7,217,8,3.7,40,2.0,20.0,
Opponent Total,,,27.0,20.0,34,0,0,8,4,31.8,0.29,1.8,0.09,107,383,27.9,526,103,48.5,38.4,192,66.7,48.5,376,22,5.9,17,0.85,13.0,
