Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Alisson,br BRA,GK,30-130,20.0,0,0,0,1,1,0,0,0,0,0,0,0,37,4,1,80.0,Matches
Mohamed Salah,eg EGY,FW,30-239,19.7,0,0,0,14,12,14,13,4,8,0,0,0,45,3,12,20.0,Matches
Virgil van Dijk,nl NED,DF,31-216,16.5,1,0,0,6,0,1,0,19,3,0,1,0,92,44,12,78.6,Matches
Trent Alexander-Arnold,eng ENG,DF,24-125,16.0,3,0,0,8,3,3,137,22,17,0,0,0,121,11,7,61.1,Matches
Andrew Robertson,sct SCO,DF,28-335,14.7,0,0,0,10,7,2,110,11,10,0,0,0,77,11,13,45.8,Matches
Fabinho,br BRA,MF,29-109,13.9,2,0,0,20,11,0,4,19,16,0,0,0,97,15,12,55.6,Matches
Thiago Alcántara,es ESP,MF,31-304,12.8,2,0,0,18,25,0,1,18,23,0,1,0,104,14,24,36.8,Matches
Harvey Elliott,eng ENG,"MF,FW",19-311,12.6,1,0,0,10,20,1,28,6,7,0,0,0,75,1,9,10.0,Matches
Joe Gomez,eng ENG,DF,25-262,12.3,3,0,0,13,4,0,3,19,17,0,1,0,103,37,27,57.8,Matches
Darwin Núñez,uy URU,FW,23-230,11.0,1,1,0,12,10,13,12,2,3,0,0,0,22,25,29,46.3,Matches
Roberto Firmino,br BRA,"FW,MF",31-130,10.3,0,0,0,6,5,3,11,6,11,0,0,0,45,13,25,34.2,Matches
Jordan Henderson,eng ENG,MF,32-237,10.2,1,0,0,5,3,0,9,10,8,0,0,0,76,5,6,45.5,Matches
Joël Matip,cm CMR,DF,31-185,7.1,1,0,0,4,4,1,1,10,5,0,0,1,48,8,14,36.4,Matches
Luis Díaz,co COL,FW,26-027,6.8,2,0,0,12,16,2,7,2,8,0,0,0,27,6,14,30.0,Matches
James Milner,eng ENG,"DF,MF",37-036,6.1,1,0,0,7,8,0,41,10,4,0,0,0,35,7,9,43.8,Matches
Kostas Tsimikas,gr GRE,DF,26-273,5.0,1,0,0,4,4,0,56,5,5,0,0,0,24,6,5,54.5,Matches
Ibrahima Konaté,fr FRA,DF,23-260,4.2,0,0,0,5,3,1,0,9,7,0,0,1,39,12,7,63.2,Matches
Fabio Carvalho,pt POR,"MF,FW",20-163,3.7,0,0,0,5,6,0,2,5,8,0,0,0,18,4,9,30.8,Matches
Alex Oxlade-Chamberlain,eng ENG,"FW,MF",29-178,3.5,0,0,0,3,4,1,2,1,4,0,0,0,19,1,4,20.0,Matches
Cody Gakpo,nl NED,FW,23-278,2.8,0,0,0,3,5,3,5,2,2,0,0,0,7,4,4,50.0,Matches
Naby Keïta,gn GUI,MF,27-364,2.7,0,0,0,8,2,0,2,1,2,0,0,0,24,2,5,28.6,Matches
Diogo Jota,pt POR,"FW,MF",26-067,2.2,1,0,0,3,4,2,3,2,7,0,0,0,10,3,5,37.5,Matches
Stefan Bajcetic,es ESP,MF,18-110,2.2,1,0,0,4,5,0,4,4,2,0,0,0,19,4,3,57.1,Matches
Curtis Jones,eng ENG,"MF,FW",22-010,2.1,1,0,0,3,5,0,3,1,2,0,0,0,12,0,0,,Matches
Nathaniel Phillips,eng ENG,DF,25-325,0.7,0,0,0,1,0,0,0,2,1,0,0,0,14,4,0,100.0,Matches
Ben Doak,sct SCO,FW,17-090,0.3,0,0,0,1,1,0,0,0,2,0,0,0,5,0,0,,Matches
Bobby Clark,eng ENG,MF,18-002,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,28.2,20.0,22,1,0,187,168,47,454,190,182,0,3,2,1195,244,256,48.8,
Opponent Total,,,27.0,20.0,27,0,0,176,170,43,274,210,200,3,0,4,1119,256,244,51.2,
