Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Thibaut Courtois,be BEL,GK,30-327,20.0,18,4,0,1,0,16.8,0.19,-1.2,-0.06,63,153,41.2,614,124,20.5,28.7,95,28.4,33.1,247,23,9.3,28,1.4,14.9,Matches
Andriy Lunin,ua UKR,GK,24-051,6.0,3,0,0,0,1,2.9,0.22,0.9,0.15,13,24,54.2,163,32,8.0,22.9,29,37.9,37.8,46,1,2.2,8,1.33,20.7,Matches
Squad Total,,,28.1,26.0,21,4,0,1,1,19.7,0.19,-0.3,-0.01,76,177,42.9,777,156,17.9,27.5,124,30.6,34.2,293,24,8.2,36,1.38,16.0,
Opponent Total,,,28.3,26.0,51,7,2,7,1,45.9,0.25,-4.1,-0.16,174,419,41.5,639,102,42.4,37.6,231,64.1,48.9,319,17,5.3,17,0.65,13.4,
