Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Thibaut Courtois,be BEL,GK,30-327,20,20,1800,20.0,18,0.9,72,54,80.6,13,4,3,6,30.0,4,4,0,0,0.0,Matches
Andriy Lunin,ua UKR,GK,24-051,6,6,540,6.0,3,0.5,13,11,76.9,4,1,1,3,50.0,0,0,0,0,,Matches
Squad Total,,,28.1,26,26,2340,26.0,21,0.81,85,65,80.0,17,5,4,9,34.6,4,4,0,0,0.0,
Opponent Total,,,28.3,26,26,2339,26.0,51,1.96,149,97,70.5,4,5,17,3,11.5,10,7,2,1,22.2,
