Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Daniel Leite,pt POR,GK,24-257,25,25,2225,24.7,33,1.33,114,81,75.4,7,4,14,6,24.0,7,5,1,1,16.7,Matches
Pedro José Moreira Silva,pt POR,GK,26-049,2,1,113,1.3,6,4.78,9,2,44.4,0,0,1,0,0.0,2,1,1,0,50.0,Matches
Squad Total,,,25.4,26,26,2338,26.0,39,1.5,123,83,73.2,7,4,15,6,23.1,9,6,2,1,25.0,
Opponent Total,,,26.6,26,26,2340,26.0,22,0.85,90,68,77.8,15,4,7,11,42.3,3,2,0,1,0.0,
