Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Nick Pope,eng ENG,GK,30-296,21.0,582,488,578,4,0,0,582,0,0,,0,,308,1903,1151,0,0,0,0,0,207,0,Matches
Kieran Trippier,eng ENG,DF,32-143,20.7,1657,61,399,698,569,16,1657,20,9,45.0,7,35.0,681,2248,1107,20,20,1,13,3,834,90,Matches
Miguel Almirón,py PAR,FW,28-364,19.3,902,16,98,292,527,88,902,57,20,35.1,28,49.1,565,3804,1615,54,27,19,31,18,630,177,Matches
Fabian Schär,ch SUI,DF,31-051,19.8,1250,150,619,528,116,42,1250,10,3,30.0,5,50.0,654,3527,2298,19,17,1,11,5,713,14,Matches
Dan Burn,eng ENG,DF,30-276,19.6,1173,102,479,508,192,36,1173,11,4,36.4,7,63.6,523,2519,1360,15,13,1,9,4,646,22,Matches
Joe Willock,eng ENG,MF,23-173,17.4,841,33,139,364,351,69,841,50,14,28.0,28,56.0,481,3115,1646,56,30,21,43,18,562,86,Matches
Joelinton,br BRA,"MF,FW",26-179,17.8,1016,45,183,465,382,66,1016,62,26,41.9,27,43.5,519,2996,1400,40,30,4,50,39,656,102,Matches
Sven Botman,nl NED,DF,23-028,17.7,1045,182,614,387,48,32,1045,0,0,,0,,578,2617,1351,5,4,2,5,0,672,3,Matches
Sean Longstaff,eng ENG,MF,25-102,17.7,915,30,177,481,262,44,915,18,4,22.2,13,72.2,458,1872,744,9,7,3,20,19,591,73,Matches
Bruno Guimarães,br BRA,MF,25-085,15.5,1039,36,205,582,267,18,1039,47,21,44.7,17,36.2,663,3521,1446,17,24,1,20,36,751,12,Matches
Callum Wilson,eng ENG,FW,30-347,12.5,275,5,15,101,159,72,274,10,3,30.0,4,40.0,164,868,465,20,9,9,41,21,217,75,Matches
Allan Saint-Maximin,fr FRA,FW,25-334,6.1,291,5,32,102,164,31,291,50,22,44.0,21,42.0,205,1959,1176,43,22,15,14,16,228,65,Matches
Jacob Murphy,eng ENG,FW,27-350,6.1,246,6,28,82,140,30,246,14,2,14.3,8,57.1,156,1150,747,33,19,12,5,11,172,54,Matches
Chris Wood,nz NZL,FW,31-064,5.0,149,8,19,70,60,16,148,2,1,50.0,0,0.0,52,159,62,1,1,0,12,5,101,23,Matches
Matt Targett,eng ENG,DF,27-144,4.7,315,12,80,132,105,0,315,0,0,,0,,135,485,295,2,5,0,4,3,165,12,Matches
Ryan Fraser,sct SCO,FW,28-350,3.5,147,1,18,51,80,9,147,2,1,50.0,0,0.0,94,600,322,8,7,1,7,1,107,23,Matches
Alexander Isak,se SWE,FW,23-141,3.2,87,1,6,23,62,18,86,11,2,18.2,8,72.7,41,234,125,4,5,2,4,4,57,17,Matches
Jamaal Lascelles,eng ENG,DF,29-090,1.2,41,15,28,12,1,1,41,0,0,,0,,21,81,17,0,0,0,0,0,21,0,Matches
Elliot Anderson,sct SCO,"FW,MF",20-095,1.3,100,2,17,33,53,19,100,13,2,15.4,7,53.8,63,459,256,14,5,7,3,3,65,12,Matches
Jonjo Shelvey,eng ENG,MF,30-347,0.4,28,0,8,18,2,0,28,0,0,,0,,10,63,19,0,0,0,0,0,17,0,Matches
Anthony Gordon,eng ENG,FW,21-350,0.2,14,0,0,5,9,2,14,0,0,,0,,9,70,37,1,1,0,1,0,13,3,Matches
Javier Manquillo,es ESP,DF,28-280,0.1,8,1,2,2,4,0,8,0,0,,0,,5,46,31,2,0,0,0,0,5,1,Matches
Jamal Lewis,nir NIR,DF,25-015,0.1,13,0,6,2,5,2,13,0,0,,0,,8,38,10,0,1,0,0,0,11,1,Matches
Matt Ritchie,sct SCO,FW,33-152,0.0,3,0,0,3,0,0,3,0,0,,0,,2,5,5,0,0,0,0,0,3,0,Matches
Emil Krafth,se SWE,DF,28-191,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.1,21.0,12138,1199,3751,4945,3558,611,12135,377,134,35.5,180,47.7,6395,34339,17685,363,247,99,293,206,7444,865,
Opponent Total,,,27.5,21.0,11682,1503,4237,4881,2683,423,11680,367,150,40.9,171,46.6,5959,31853,16260,331,194,104,290,176,6935,698,
